timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,78,88,27,51100000.0,66200.0,61400000,29959930,5997.72,16000,,,1580000,1022000,3919.04,1820000,20440,278.04,18500000,2825830.0,516.36,12400000,3009790.0,2257.42,18700000,4624550,1853.6,5030000,-505890,,7000,0,0,12200000,4394600,35900.26,2750000,148190,1621.9,1370000,,, Svizzera_nan_-863590.0_1118.78@ Settentrione (Italia)_nan_-2069550.0_2681.1@, Belgio_nan_1323490.0_2608.28@ Germania_nan_20440.0_99.3@ Spagna_2800000.0_1701630.0_2369.96@ Gran Bretagna_3000000.0_2044000.0_8771.5@,Francia
19:10 20-04-2022,80,88,28,51600000.0,68600.0,61400000,30124080,6023.08,16000,,,1580000,1026840,3937.64,1820000,20640,267.54,18500000,2709000.0,493.92,12400000,2358120.0,1769.88,18700000,5748240,2298.1,5030000,593400,535.08,7000,0,0,12200000,4994880,40782.7,2750000,149640,1625.82,1370000,,, Svizzera_nan_-1093920.0_1461.18@ Settentrione (Italia)_nan_-2069160.0_2750.86@, Belgio_nan_810120.0_1694.42@ Germania_nan_20640.0_102.9@ Spagna_2800000.0_1702800.0_3738.7@ Gran Bretagna_3000000.0_1346760.0_5323.36@,Francia
19:20 20-04-2022,80,88,28,51600000.0,68600.0,61400000,30124080,6023.08,16000,,,1580000,1026840,3937.64,1820000,20640,267.54,18500000,2709000.0,493.92,12400000,2358120.0,1769.88,18700000,5748240,2298.1,5030000,593400,535.08,7000,0,0,12200000,4994880,40782.7,2750000,149640,1625.82,1370000,,, Svizzera_nan_-1093920.0_1461.18@ Settentrione (Italia)_nan_-2069160.0_2750.86@, Belgio_nan_810120.0_1694.42@ Germania_nan_20640.0_102.9@ Spagna_2800000.0_1702800.0_3738.7@ Gran Bretagna_3000000.0_1346760.0_5323.36@,Francia
19:30 20-04-2022,80,88,28,51600000.0,68600.0,61400000,30124080,6023.08,16000,,,1580000,1026840,3937.64,1820000,20640,267.54,18500000,2709000.0,493.92,12400000,2358120.0,1769.88,18700000,5748240,2298.1,5030000,593400,535.08,7000,0,0,12200000,4994880,40782.7,2750000,149640,1625.82,1370000,,, Svizzera_nan_-1093920.0_1461.18@ Settentrione (Italia)_nan_-2069160.0_2750.86@, Belgio_nan_810120.0_1694.42@ Germania_nan_20640.0_102.9@ Spagna_2800000.0_1702800.0_3738.7@ Gran Bretagna_3000000.0_1346760.0_5323.36@,Francia
19:40 20-04-2022,80,88,28,51600000.0,68600.0,61400000,30124080,6023.08,16000,,,1580000,1026840,3937.64,1820000,20640,267.54,18500000,2709000.0,493.92,12400000,2358120.0,1769.88,18700000,5748240,2298.1,5030000,593400,535.08,7000,0,0,12200000,4994880,40782.7,2750000,149640,1625.82,1370000,,, Svizzera_nan_-1093920.0_1461.18@ Settentrione (Italia)_nan_-2069160.0_2750.86@, Belgio_nan_810120.0_1694.42@ Germania_nan_20640.0_102.9@ Spagna_2800000.0_1702800.0_3738.7@ Gran Bretagna_3000000.0_1346760.0_5323.36@,Francia
19:50 20-04-2022,78,88,28,51500000.0,67100.0,61400000,30148100,6032.29,16000,,,1580000,1030000,3938.77,1820000,20600,268.4,18500000,2714050.0,496.54,12400000,2358700.0,1771.44,18700000,5752550,2301.53,5030000,592250,536.8,7000,0,0,12200000,5000650,40830.35,2750000,149350,1623.82,1370000,,, Svizzera_nan_-1096950.0_1429.23@ Germania_nan_-932150.0_1214.51@ Settentrione (Italia)_nan_-2312350.0_3012.79@, Belgio_nan_813700.0_1174.25@ Spagna_2800000.0_1586200.0_2241.14@ Gran Bretagna_3000000.0_1344150.0_5884.67@,Francia
20:00 20-04-2022,78,88,28,51500000.0,67100.0,61400000,30148100,6032.29,16000,,,1580000,1030000,3938.77,1820000,20600,268.4,18500000,2714050.0,496.54,12400000,2358700.0,1771.44,18700000,5752550,2301.53,5030000,592250,536.8,7000,0,0,12200000,5000650,40830.35,2750000,149350,1623.82,1370000,,, Svizzera_nan_-1096950.0_1429.23@ Germania_nan_-932150.0_1214.51@ Settentrione (Italia)_nan_-2312350.0_3012.79@, Belgio_nan_813700.0_1174.25@ Spagna_2800000.0_1586200.0_2241.14@ Gran Bretagna_3000000.0_1344150.0_5884.67@,Francia
20:10 20-04-2022,83,87,29,53700000.0,74500.0,61400000,30485490,6094.1,16000,,,1580000,1036410,3955.95,1820000,16110,245.85,18500000,2803140.0,514.05,12400000,1541190.0,1154.75,18700000,6814530,2719.25,5030000,1482120,1333.55,7000,0,0,12200000,5525730,45079.95,2750000,150360,1624.1,1370000,,, Svizzera_nan_-1186770.0_1646.45@ Germania_nan_-934380.0_1296.3@ Settentrione (Italia)_nan_-2314470.0_3210.95@, Belgio_nan_767910.0_1750.75@ Spagna_2800000.0_1589520.0_3657.95@ Gran Bretagna_3000000.0_1498230.0_6369.75@,Francia
20:20 20-04-2022,83,87,29,53700000.0,74500.0,61400000,30485490,6094.1,16000,,,1580000,1036410,3955.95,1820000,16110,245.85,18500000,2803140.0,514.05,12400000,1541190.0,1154.75,18700000,6814530,2719.25,5030000,1482120,1333.55,7000,0,0,12200000,5525730,45079.95,2750000,150360,1624.1,1370000,,, Svizzera_nan_-1186770.0_1646.45@ Germania_nan_-934380.0_1296.3@ Settentrione (Italia)_nan_-2314470.0_3210.95@, Belgio_nan_767910.0_1750.75@ Spagna_2800000.0_1589520.0_3657.95@ Gran Bretagna_3000000.0_1498230.0_6369.75@,Francia
20:30 20-04-2022,83,87,29,53700000.0,74500.0,61400000,30485490,6094.1,16000,,,1580000,1036410,3955.95,1820000,16110,245.85,18500000,2803140.0,514.05,12400000,1541190.0,1154.75,18700000,6814530,2719.25,5030000,1482120,1333.55,7000,0,0,12200000,5525730,45079.95,2750000,150360,1624.1,1370000,,, Svizzera_nan_-1186770.0_1646.45@ Germania_nan_-934380.0_1296.3@ Settentrione (Italia)_nan_-2314470.0_3210.95@, Belgio_nan_767910.0_1750.75@ Spagna_2800000.0_1589520.0_3657.95@ Gran Bretagna_3000000.0_1498230.0_6369.75@,Francia
20:40 20-04-2022,83,87,29,53700000.0,74500.0,61400000,30485490,6094.1,16000,,,1580000,1036410,3955.95,1820000,16110,245.85,18500000,2803140.0,514.05,12400000,1541190.0,1154.75,18700000,6814530,2719.25,5030000,1482120,1333.55,7000,0,0,12200000,5525730,45079.95,2750000,150360,1624.1,1370000,,, Svizzera_nan_-1186770.0_1646.45@ Germania_nan_-934380.0_1296.3@ Settentrione (Italia)_nan_-2314470.0_3210.95@, Belgio_nan_767910.0_1750.75@ Spagna_2800000.0_1589520.0_3657.95@ Gran Bretagna_3000000.0_1498230.0_6369.75@,Francia
20:50 20-04-2022,82,87,29,54100000.0,74100.0,61400000,30436660,6091.02,16000,,,1580000,1033310,3956.94,1820000,16230,244.53,18500000,2796970.0,511.29,12400000,1536440.0,1155.96,18700000,6805780,2726.88,5030000,1476930,1333.8,7000,0,0,12200000,5518200,45089.85,2750000,151480,1622.79,1370000,,, Svizzera_nan_-1168560.0_1600.56@ Germania_nan_-1357910.0_1859.91@ Settentrione (Italia)_nan_-2699590.0_3697.59@, Belgio_nan_768220.0_1482.0@ Spagna_2800000.0_2066620.0_2845.44@ Gran Bretagna_3000000.0_1493160.0_7046.91@,Francia
21:00 20-04-2022,82,87,29,54100000.0,74100.0,61400000,30436660,6091.02,16000,,,1580000,1033310,3956.94,1820000,16230,244.53,18500000,2796970.0,511.29,12400000,1536440.0,1155.96,18700000,6805780,2726.88,5030000,1476930,1333.8,7000,0,0,12200000,5518200,45089.85,2750000,151480,1622.79,1370000,,, Svizzera_nan_-1168560.0_1600.56@ Germania_nan_-1357910.0_1859.91@ Settentrione (Italia)_nan_-2699590.0_3697.59@, Belgio_nan_768220.0_1482.0@ Spagna_2800000.0_2066620.0_2845.44@ Gran Bretagna_3000000.0_1493160.0_7046.91@,Francia
21:10 20-04-2022,84,87,31,56200000.0,78300.0,61400000,30668340,6130.89,16000,,,1580000,1034080,3954.15,1820000,16860,242.73,18500000,2776280.0,508.95,12400000,651920.0,485.46,18700000,8699760,3476.52,5030000,2697600,2435.13,7000,0,0,12200000,5782980,47230.56,2750000,151740,1628.64,1370000,,, Svizzera_nan_-539520.0_751.68@ Germania_nan_-1360040.0_1894.86@ Settentrione (Italia)_nan_-2703220.0_3766.23@, Belgio_nan_275380.0_665.55@ Spagna_2800000.0_2068160.0_5324.4@ Gran Bretagna_3000000.0_1388140.0_6209.19@,Francia
21:20 20-04-2022,84,87,31,56200000.0,78300.0,61400000,30668340,6130.89,16000,,,1580000,1034080,3954.15,1820000,16860,242.73,18500000,2776280.0,508.95,12400000,651920.0,485.46,18700000,8699760,3476.52,5030000,2697600,2435.13,7000,0,0,12200000,5782980,47230.56,2750000,151740,1628.64,1370000,,, Svizzera_nan_-539520.0_751.68@ Germania_nan_-1360040.0_1894.86@ Settentrione (Italia)_nan_-2703220.0_3766.23@, Belgio_nan_275380.0_665.55@ Spagna_2800000.0_2068160.0_5324.4@ Gran Bretagna_3000000.0_1388140.0_6209.19@,Francia
