timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,241,64,60,9800000.0,39300,0,0,0,0,0,0,585000,147980,565.92,0,0,0.0,3500000,33320,7.86,2500000,264600,200.43,8310000.000000001,3478020,1391.22,3500000,451780,1426.59,,0,0,4350000,2312800,18891.51,164000,0,0.0,954000,21560,255.45, Svizzera_nan_-806540.0_3234.39; Ungheria_nan_-820260.0_3289.41; Settentrione (Italia)_nan_-201880.0_809.58; Slovenia_nan_-906500.0_3635.25;, Cechia_nan_924140.0_6350.88; Germania_nan_2163840.0_10210.14;
19:10 20-04-2022,195,74,69,9100000.0,29700,0,0,0,0,910,0,585000,151060,582.12,0,910,8.91,3500000,875420,160.38,2500000,138320,103.95,8310000.000000001,3429790,1375.11,3500000,514150,1624.59,,0,0,4350000,1269450,10389.06,164000,910,8.91,954000,21840,258.39, Svizzera_nan_-447720.0_1461.24; Ungheria_nan_-940940.0_3070.98; Settentrione (Italia)_nan_-202020.0_659.34; Slovenia_nan_-580580.0_1894.86;, Cechia_nan_923650.0_6323.13; Germania_nan_1774500.0_8868.42;
19:20 20-04-2022,195,74,69,9100000.0,29700,0,0,0,0,910,0,585000,151060,582.12,0,910,8.91,3500000,875420,160.38,2500000,138320,103.95,8310000.000000001,3429790,1375.11,3500000,514150,1624.59,,0,0,4350000,1269450,10389.06,164000,910,8.91,954000,21840,258.39, Svizzera_nan_-447720.0_1461.24; Ungheria_nan_-940940.0_3070.98; Settentrione (Italia)_nan_-202020.0_659.34; Slovenia_nan_-580580.0_1894.86;, Cechia_nan_923650.0_6323.13; Germania_nan_1774500.0_8868.42;
19:30 20-04-2022,195,74,69,9100000.0,29700,0,0,0,0,910,0,585000,151060,582.12,0,910,8.91,3500000,875420,160.38,2500000,138320,103.95,8310000.000000001,3429790,1375.11,3500000,514150,1624.59,,0,0,4350000,1269450,10389.06,164000,910,8.91,954000,21840,258.39, Svizzera_nan_-447720.0_1461.24; Ungheria_nan_-940940.0_3070.98; Settentrione (Italia)_nan_-202020.0_659.34; Slovenia_nan_-580580.0_1894.86;, Cechia_nan_923650.0_6323.13; Germania_nan_1774500.0_8868.42;
19:40 20-04-2022,195,74,69,9100000.0,29700,0,0,0,0,910,0,585000,151060,582.12,0,910,8.91,3500000,875420,160.38,2500000,138320,103.95,8310000.000000001,3429790,1375.11,3500000,514150,1624.59,,0,0,4350000,1269450,10389.06,164000,910,8.91,954000,21840,258.39, Svizzera_nan_-447720.0_1461.24; Ungheria_nan_-940940.0_3070.98; Settentrione (Italia)_nan_-202020.0_659.34; Slovenia_nan_-580580.0_1894.86;, Cechia_nan_923650.0_6323.13; Germania_nan_1774500.0_8868.42;
19:50 20-04-2022,245,64,60,9590000.0,39200,0,0,0,0,0,0,585000,147686,568.4,0,0,0.0,3500000,27811,3.92,2500000,176456,133.28,8310000.000000001,3511858,1403.36,3500000,734594,2312.8,,0,0,4350000,2332288,19027.68,164000,0,0.0,954000,22057,254.8, Svizzera_nan_-447853.0_1830.64; Ungheria_nan_-940779.0_3845.52; Settentrione (Italia)_nan_-178374.0_729.12; Slovenia_nan_-780626.0_3190.88;, Cechia_nan_934066.0_6609.12; Germania_nan_1703184.0_8886.64;
20:00 20-04-2022,245,64,60,9590000.0,39200,0,0,0,0,0,0,585000,147686,568.4,0,0,0.0,3500000,27811,3.92,2500000,176456,133.28,8310000.000000001,3511858,1403.36,3500000,734594,2312.8,,0,0,4350000,2332288,19027.68,164000,0,0.0,954000,22057,254.8, Svizzera_nan_-447853.0_1830.64; Ungheria_nan_-940779.0_3845.52; Settentrione (Italia)_nan_-178374.0_729.12; Slovenia_nan_-780626.0_3190.88;, Cechia_nan_934066.0_6609.12; Germania_nan_1703184.0_8886.64;
20:10 20-04-2022,234,68,65,9690000.0,37900,0,0,0,0,0,0,585000,148257,568.5,0,0,0.0,3500000,20349,3.79,2500000,116280,87.17,8310000.000000001,3452547,1383.35,3500000,1993233,6291.4,,0,0,4350000,2219010,18146.52,164000,0,0.0,954000,22287,257.72, Svizzera_nan_-365313.0_1425.04; Ungheria_nan_-1043613.0_4081.83; Settentrione (Italia)_nan_-178296.0_697.36; Slovenia_nan_-631788.0_2471.08;, Cechia_nan_933147.0_6632.5; Germania_nan_785859.0_4529.05;
20:20 20-04-2022,234,68,65,9690000.0,37900,0,0,0,0,0,0,585000,148257,568.5,0,0,0.0,3500000,20349,3.79,2500000,116280,87.17,8310000.000000001,3452547,1383.35,3500000,1993233,6291.4,,0,0,4350000,2219010,18146.52,164000,0,0.0,954000,22287,257.72, Svizzera_nan_-365313.0_1425.04; Ungheria_nan_-1043613.0_4081.83; Settentrione (Italia)_nan_-178296.0_697.36; Slovenia_nan_-631788.0_2471.08;, Cechia_nan_933147.0_6632.5; Germania_nan_785859.0_4529.05;
20:30 20-04-2022,234,68,65,9690000.0,37900,0,0,0,0,0,0,585000,148257,568.5,0,0,0.0,3500000,20349,3.79,2500000,116280,87.17,8310000.000000001,3452547,1383.35,3500000,1993233,6291.4,,0,0,4350000,2219010,18146.52,164000,0,0.0,954000,22287,257.72, Svizzera_nan_-365313.0_1425.04; Ungheria_nan_-1043613.0_4081.83; Settentrione (Italia)_nan_-178296.0_697.36; Slovenia_nan_-631788.0_2471.08;, Cechia_nan_933147.0_6632.5; Germania_nan_785859.0_4529.05;
20:40 20-04-2022,234,68,65,9690000.0,37900,0,0,0,0,0,0,585000,148257,568.5,0,0,0.0,3500000,20349,3.79,2500000,116280,87.17,8310000.000000001,3452547,1383.35,3500000,1993233,6291.4,,0,0,4350000,2219010,18146.52,164000,0,0.0,954000,22287,257.72, Svizzera_nan_-365313.0_1425.04; Ungheria_nan_-1043613.0_4081.83; Settentrione (Italia)_nan_-178296.0_697.36; Slovenia_nan_-631788.0_2471.08;, Cechia_nan_933147.0_6632.5; Germania_nan_785859.0_4529.05;
