timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
19:10 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
19:20 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
19:30 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
19:40 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
19:50 20-04-2022,126,82,31,10500000.0,21900,5940000,5325600,1059.96,0,0,0,1050000,409500,1561.47,0,67200,919.8,4880000,1654800.0,302.22,5900000,1215900,908.85,177000,2100,0.0,1310000,-16800,,,0,0,7340000,1167600,9491.46,280000,1050,6.57,,658350.0,7649.67, Germania_1000000.0_-480900.0_1003.02@ Francia_nan_-813750.0_1697.25@ Gran Bretagna_1000000.0_-67200.0_140.16@ Lussemburgo_nan_-226800.0_473.04@ Paesi Bassi_nan_-594300.0_1239.54@,,Belgio
20:00 20-04-2022,87,88,39,11000000.0,16000,5940000,5415300,1086.4,0,0,0,1050000,411400,1580.8,0,0,0.0,4880000,1258400.0,232.0,5900000,2390300,1796.8,177000,0,0.0,1310000,203500,491.2,,0,0,7340000,1321100,10814.4,280000,0,0.0,,,, Germania_1000000.0_-478500.0_696.0@ Francia_nan_-809600.0_1177.6@ Gran Bretagna_1000000.0_-66000.0_96.0@ Lussemburgo_nan_-225500.0_328.0@ Paesi Bassi_nan_-601700.0_875.2@,,Belgio
20:10 20-04-2022,137,80,29,10500000.0,23900,5940000,5299350,1058.77,0,0,0,1050000,420000,1608.47,0,68250,936.88,4880000,1708350.0,313.09,5900000,658350,492.34,177000,2100,0.0,1310000,195300,468.44,,0,0,7340000,1292550,10539.9,280000,1050,7.17,,655200.0,7628.88, Germania_1000000.0_-732900.0_1668.22@ Francia_nan_-768600.0_1749.48@ Lussemburgo_nan_-247800.0_564.04@ Paesi Bassi_nan_-265650.0_604.67@, Gran Bretagna_1000000.0_199500.0_846.06@,Belgio
20:20 20-04-2022,137,80,29,10500000.0,23900,5940000,5299350,1058.77,0,0,0,1050000,420000,1608.47,0,68250,936.88,4880000,1708350.0,313.09,5900000,658350,492.34,177000,2100,0.0,1310000,195300,468.44,,0,0,7340000,1292550,10539.9,280000,1050,7.17,,655200.0,7628.88, Germania_1000000.0_-732900.0_1668.22@ Francia_nan_-768600.0_1749.48@ Lussemburgo_nan_-247800.0_564.04@ Paesi Bassi_nan_-265650.0_604.67@, Gran Bretagna_1000000.0_199500.0_846.06@,Belgio
20:30 20-04-2022,137,80,29,10500000.0,23900,5940000,5299350,1058.77,0,0,0,1050000,420000,1608.47,0,68250,936.88,4880000,1708350.0,313.09,5900000,658350,492.34,177000,2100,0.0,1310000,195300,468.44,,0,0,7340000,1292550,10539.9,280000,1050,7.17,,655200.0,7628.88, Germania_1000000.0_-732900.0_1668.22@ Francia_nan_-768600.0_1749.48@ Lussemburgo_nan_-247800.0_564.04@ Paesi Bassi_nan_-265650.0_604.67@, Gran Bretagna_1000000.0_199500.0_846.06@,Belgio
