timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,406,48,18,6580000,44500,2000000,2022034,404.95,0,0,0,80000,32242,124.6,4370000,2832032,38692.75,701000,186872,35.6,1130000,207270,155.75,2740000,663922,267.0,931000,0,0,,0,0,1370000,482972,3942.7,0,0,0,,,, Grecia_nan_-590226.0_3991.65; Macedonia del Nord_950000.0_-567196.0_3835.9; Romania_nan_-267806.0_1811.15; Serbia_2490000.0_-493500.0_3337.5;, Turchia_2490000.0_153314.0_881.1;
19:10 20-04-2022,406,48,18,6580000,44500,2000000,2022034,404.95,0,0,0,80000,32242,124.6,4370000,2832032,38692.75,701000,186872,35.6,1130000,207270,155.75,2740000,663922,267.0,931000,0,0,,0,0,1370000,482972,3942.7,0,0,0,,,, Grecia_nan_-590226.0_3991.65; Macedonia del Nord_950000.0_-567196.0_3835.9; Romania_nan_-267806.0_1811.15; Serbia_2490000.0_-493500.0_3337.5;, Turchia_2490000.0_153314.0_881.1;
19:20 20-04-2022,406,48,18,6580000,44500,2000000,2022034,404.95,0,0,0,80000,32242,124.6,4370000,2832032,38692.75,701000,186872,35.6,1130000,207270,155.75,2740000,663922,267.0,931000,0,0,,0,0,1370000,482972,3942.7,0,0,0,,,, Grecia_nan_-590226.0_3991.65; Macedonia del Nord_950000.0_-567196.0_3835.9; Romania_nan_-267806.0_1811.15; Serbia_2490000.0_-493500.0_3337.5;, Turchia_2490000.0_153314.0_881.1;
19:30 20-04-2022,406,48,18,6580000,44500,2000000,2022034,404.95,0,0,0,80000,32242,124.6,4370000,2832032,38692.75,701000,186872,35.6,1130000,207270,155.75,2740000,663922,267.0,931000,0,0,,0,0,1370000,482972,3942.7,0,0,0,,,, Grecia_nan_-590226.0_3991.65; Macedonia del Nord_950000.0_-567196.0_3835.9; Romania_nan_-267806.0_1811.15; Serbia_2490000.0_-493500.0_3337.5;, Turchia_2490000.0_153314.0_881.1;
19:40 20-04-2022,406,48,18,6580000,44500,2000000,2022034,404.95,0,0,0,80000,32242,124.6,4370000,2832032,38692.75,701000,186872,35.6,1130000,207270,155.75,2740000,663922,267.0,931000,0,0,,0,0,1370000,482972,3942.7,0,0,0,,,, Grecia_nan_-590226.0_3991.65; Macedonia del Nord_950000.0_-567196.0_3835.9; Romania_nan_-267806.0_1811.15; Serbia_2490000.0_-493500.0_3337.5;, Turchia_2490000.0_153314.0_881.1;
19:50 20-04-2022,400,49,19,6610000,44100,2000000,2022660,405.72,0,0,0,80000,29084,110.25,4370000,2821148,38583.09,701000,187724,35.28,1130000,47592,35.28,2740000,915485,366.03,931000,0,0,,0,0,1370000,483191,3951.36,0,0,0,,,, Grecia_nan_-561850.0_3748.5; Macedonia del Nord_950000.0_-526817.0_3514.77; Romania_nan_-255146.0_1702.26; Serbia_2490000.0_-434277.0_2897.37;, Turchia_2490000.0_103777.0_612.99;
20:00 20-04-2022,400,49,19,6610000,44100,2000000,2022660,405.72,0,0,0,80000,29084,110.25,4370000,2821148,38583.09,701000,187724,35.28,1130000,47592,35.28,2740000,915485,366.03,931000,0,0,,0,0,1370000,483191,3951.36,0,0,0,,,, Grecia_nan_-561850.0_3748.5; Macedonia del Nord_950000.0_-526817.0_3514.77; Romania_nan_-255146.0_1702.26; Serbia_2490000.0_-434277.0_2897.37;, Turchia_2490000.0_103777.0_612.99;
20:10 20-04-2022,400,49,19,6610000,44100,2000000,2022660,405.72,0,0,0,80000,29084,110.25,4370000,2821148,38583.09,701000,187724,35.28,1130000,47592,35.28,2740000,915485,366.03,931000,0,0,,0,0,1370000,483191,3951.36,0,0,0,,,, Grecia_nan_-561850.0_3748.5; Macedonia del Nord_950000.0_-526817.0_3514.77; Romania_nan_-255146.0_1702.26; Serbia_2490000.0_-434277.0_2897.37;, Turchia_2490000.0_103777.0_612.99;
20:20 20-04-2022,400,49,19,6610000,44100,2000000,2022660,405.72,0,0,0,80000,29084,110.25,4370000,2821148,38583.09,701000,187724,35.28,1130000,47592,35.28,2740000,915485,366.03,931000,0,0,,0,0,1370000,483191,3951.36,0,0,0,,,, Grecia_nan_-561850.0_3748.5; Macedonia del Nord_950000.0_-526817.0_3514.77; Romania_nan_-255146.0_1702.26; Serbia_2490000.0_-434277.0_2897.37;, Turchia_2490000.0_103777.0_612.99;
20:30 20-04-2022,400,49,19,6610000,44100,2000000,2022660,405.72,0,0,0,80000,29084,110.25,4370000,2821148,38583.09,701000,187724,35.28,1130000,47592,35.28,2740000,915485,366.03,931000,0,0,,0,0,1370000,483191,3951.36,0,0,0,,,, Grecia_nan_-561850.0_3748.5; Macedonia del Nord_950000.0_-526817.0_3514.77; Romania_nan_-255146.0_1702.26; Serbia_2490000.0_-434277.0_2897.37;, Turchia_2490000.0_103777.0_612.99;
20:40 20-04-2022,400,49,19,6670000,44400,2000000,2022344,404.04,0,0,0,80000,28681,111.0,4370000,2820743,38530.32,701000,187427,35.52,1130000,47357,35.52,2740000,915124,364.08,931000,0,0,,0,0,1370000,483575,3947.16,0,0,0,,,, Grecia_nan_-548941.0_3654.12; Macedonia del Nord_950000.0_-510255.0_3396.6; Romania_nan_-238786.0_1589.52; Serbia_2490000.0_-414207.0_2757.24;, Turchia_2490000.0_164082.0_972.36;
