timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,293,54,54,4690000,22900.0,0,0,0,817000,630805,398.46,200000,469,2.29,0,1876,25.19,163000,36582,6.87,1980000,448364,336.63,621000,127099,50.38,0,2345,9.16,,0,0,2430000,609231,4971.59,16000,469,6.87,,98959,1156.45, Corsica (Francia)_nan_-106932.0_522.12; Settentrione (Italia)_nan_-1229249.0_6002.09;, Centrosud (Italia)_nan_2733332.0_15936.11;
19:10 20-04-2022,293,54,54,4690000,22900.0,0,0,0,817000,630805,398.46,200000,469,2.29,0,1876,25.19,163000,36582,6.87,1980000,448364,336.63,621000,127099,50.38,0,2345,9.16,,0,0,2430000,609231,4971.59,16000,469,6.87,,98959,1156.45, Corsica (Francia)_nan_-106932.0_522.12; Settentrione (Italia)_nan_-1229249.0_6002.09;, Centrosud (Italia)_nan_2733332.0_15936.11;
19:20 20-04-2022,293,54,54,4690000,22900.0,0,0,0,817000,630805,398.46,200000,469,2.29,0,1876,25.19,163000,36582,6.87,1980000,448364,336.63,621000,127099,50.38,0,2345,9.16,,0,0,2430000,609231,4971.59,16000,469,6.87,,98959,1156.45, Corsica (Francia)_nan_-106932.0_522.12; Settentrione (Italia)_nan_-1229249.0_6002.09;, Centrosud (Italia)_nan_2733332.0_15936.11;
19:30 20-04-2022,293,54,54,4690000,22900.0,0,0,0,817000,630805,398.46,200000,469,2.29,0,1876,25.19,163000,36582,6.87,1980000,448364,336.63,621000,127099,50.38,0,2345,9.16,,0,0,2430000,609231,4971.59,16000,469,6.87,,98959,1156.45, Corsica (Francia)_nan_-106932.0_522.12; Settentrione (Italia)_nan_-1229249.0_6002.09;, Centrosud (Italia)_nan_2733332.0_15936.11;
19:40 20-04-2022,293,54,54,4690000,22900.0,0,0,0,817000,630805,398.46,200000,469,2.29,0,1876,25.19,163000,36582,6.87,1980000,448364,336.63,621000,127099,50.38,0,2345,9.16,,0,0,2430000,609231,4971.59,16000,469,6.87,,98959,1156.45, Corsica (Francia)_nan_-106932.0_522.12; Settentrione (Italia)_nan_-1229249.0_6002.09;, Centrosud (Italia)_nan_2733332.0_15936.11;
19:50 20-04-2022,339,43,42,4340000,24500.0,0,0,0,817000,599788,379.75,200000,0,0.0,0,0,0.0,163000,19964,2.45,1980000,341992,257.25,621000,69874,26.95,0,0,0.0,,0,0,2430000,995596,8121.75,16000,0,0.0,,147994,1724.8, Corsica (Francia)_nan_-141918.0_801.15; Settentrione (Italia)_nan_-687890.0_3883.25;, Centrosud (Italia)_nan_2164792.0_13987.05;
20:00 20-04-2022,339,43,42,4340000,24500.0,0,0,0,817000,599788,379.75,200000,0,0.0,0,0,0.0,163000,19964,2.45,1980000,341992,257.25,621000,69874,26.95,0,0,0.0,,0,0,2430000,995596,8121.75,16000,0,0.0,,147994,1724.8, Corsica (Francia)_nan_-141918.0_801.15; Settentrione (Italia)_nan_-687890.0_3883.25;, Centrosud (Italia)_nan_2164792.0_13987.05;
20:10 20-04-2022,333,45,45,3940000,21900.0,0,0,0,817000,629612,398.58,200000,788,2.19,0,1576,24.09,163000,35066,6.57,1980000,185574,140.16,621000,130020,52.56,0,5122,24.09,,0,0,2430000,678862,5558.22,16000,788,6.57,,107956,1265.82, Corsica (Francia)_nan_-141840.0_788.4; Settentrione (Italia)_nan_-687530.0_3821.55;, Centrosud (Italia)_nan_2164242.0_14421.15;
20:20 20-04-2022,333,45,45,3940000,21900.0,0,0,0,817000,629612,398.58,200000,788,2.19,0,1576,24.09,163000,35066,6.57,1980000,185574,140.16,621000,130020,52.56,0,5122,24.09,,0,0,2430000,678862,5558.22,16000,788,6.57,,107956,1265.82, Corsica (Francia)_nan_-141840.0_788.4; Settentrione (Italia)_nan_-687530.0_3821.55;, Centrosud (Italia)_nan_2164242.0_14421.15;
20:30 20-04-2022,333,45,45,3940000,21900.0,0,0,0,817000,629612,398.58,200000,788,2.19,0,1576,24.09,163000,35066,6.57,1980000,185574,140.16,621000,130020,52.56,0,5122,24.09,,0,0,2430000,678862,5558.22,16000,788,6.57,,107956,1265.82, Corsica (Francia)_nan_-141840.0_788.4; Settentrione (Italia)_nan_-687530.0_3821.55;, Centrosud (Italia)_nan_2164242.0_14421.15;
