timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,350,47,46,9440000.0,55100.0,0,0,0,0,0,0,487000,76464,292.03,1850000,889248,12155.06,2090000,671184,121.22,3550000,0.0,0.0,1600000,400256,159.79,1710000,-80240,,,0,0,7760000,1009136,8242.96,96000,944,5.51,,216176,2523.58, Centronord (Italia)_nan_-2730048.0_15929.41@, Sardegna (Italia)_1000000.0_330400.0_2275.63@ Meridione (Italia)_nan_4641648.0_25775.78@ Montenegro_600000.0_362496.0_2914.79@,Centrosud (Italia)
19:10 20-09-2022,350,47,46,9440000.0,55100.0,0,0,0,0,0,0,487000,76464,292.03,1850000,889248,12155.06,2090000,671184,121.22,3550000,0.0,0.0,1600000,400256,159.79,1710000,-80240,,,0,0,7760000,1009136,8242.96,96000,944,5.51,,216176,2523.58, Centronord (Italia)_nan_-2730048.0_15929.41@, Sardegna (Italia)_1000000.0_330400.0_2275.63@ Meridione (Italia)_nan_4641648.0_25775.78@ Montenegro_600000.0_362496.0_2914.79@,Centrosud (Italia)
19:20 20-09-2022,350,47,46,9440000.0,55100.0,0,0,0,0,0,0,487000,76464,292.03,1850000,889248,12155.06,2090000,671184,121.22,3550000,0.0,0.0,1600000,400256,159.79,1710000,-80240,,,0,0,7760000,1009136,8242.96,96000,944,5.51,,216176,2523.58, Centronord (Italia)_nan_-2730048.0_15929.41@, Sardegna (Italia)_1000000.0_330400.0_2275.63@ Meridione (Italia)_nan_4641648.0_25775.78@ Montenegro_600000.0_362496.0_2914.79@,Centrosud (Italia)
19:30 20-09-2022,350,47,46,9440000.0,55100.0,0,0,0,0,0,0,487000,76464,292.03,1850000,889248,12155.06,2090000,671184,121.22,3550000,0.0,0.0,1600000,400256,159.79,1710000,-80240,,,0,0,7760000,1009136,8242.96,96000,944,5.51,,216176,2523.58, Centronord (Italia)_nan_-2730048.0_15929.41@, Sardegna (Italia)_1000000.0_330400.0_2275.63@ Meridione (Italia)_nan_4641648.0_25775.78@ Montenegro_600000.0_362496.0_2914.79@,Centrosud (Italia)
19:40 20-09-2022,350,47,46,9440000.0,55100.0,0,0,0,0,0,0,487000,76464,292.03,1850000,889248,12155.06,2090000,671184,121.22,3550000,0.0,0.0,1600000,400256,159.79,1710000,-80240,,,0,0,7760000,1009136,8242.96,96000,944,5.51,,216176,2523.58, Centronord (Italia)_nan_-2730048.0_15929.41@, Sardegna (Italia)_1000000.0_330400.0_2275.63@ Meridione (Italia)_nan_4641648.0_25775.78@ Montenegro_600000.0_362496.0_2914.79@,Centrosud (Italia)
19:50 20-09-2022,388,38,37,8340000.0,53900.0,0,0,0,0,0,0,487000,70890,269.5,1850000,388644,5314.54,2090000,265212,48.51,3550000,0.0,0.0,1600000,455364,183.26,1710000,23352,134.75,,0,0,7760000,1446990,11809.49,96000,0,0.0,,234354,2727.34, Centronord (Italia)_nan_-2165898.0_13997.83@, Sardegna (Italia)_1000000.0_267714.0_2032.03@ Meridione (Italia)_nan_4146648.0_27375.81@ Montenegro_600000.0_406158.0_3525.06@,Centrosud (Italia)
20:00 20-09-2022,388,38,37,8340000.0,53900.0,0,0,0,0,0,0,487000,70890,269.5,1850000,388644,5314.54,2090000,265212,48.51,3550000,0.0,0.0,1600000,455364,183.26,1710000,23352,134.75,,0,0,7760000,1446990,11809.49,96000,0,0.0,,234354,2727.34, Centronord (Italia)_nan_-2165898.0_13997.83@, Sardegna (Italia)_1000000.0_267714.0_2032.03@ Meridione (Italia)_nan_4146648.0_27375.81@ Montenegro_600000.0_406158.0_3525.06@,Centrosud (Italia)
20:10 20-09-2022,399,37,37,8990000.0,59700.0,0,0,0,0,0,0,487000,77314,298.5,1850000,928667,12680.28,2090000,638290,119.4,3550000,0.0,0.0,1600000,548390,220.89,1710000,-11687,,,0,0,7760000,1388056,11331.06,96000,899,5.97,,233740,2728.29, Centronord (Italia)_nan_-2167489.0_14393.67@, Sardegna (Italia)_1000000.0_267902.0_1999.95@ Meridione (Italia)_nan_4148885.0_26536.65@ Montenegro_600000.0_406348.0_3522.3@,Centrosud (Italia)
20:20 20-09-2022,399,37,37,8990000.0,59700.0,0,0,0,0,0,0,487000,77314,298.5,1850000,928667,12680.28,2090000,638290,119.4,3550000,0.0,0.0,1600000,548390,220.89,1710000,-11687,,,0,0,7760000,1388056,11331.06,96000,899,5.97,,233740,2728.29, Centronord (Italia)_nan_-2167489.0_14393.67@, Sardegna (Italia)_1000000.0_267902.0_1999.95@ Meridione (Italia)_nan_4148885.0_26536.65@ Montenegro_600000.0_406348.0_3522.3@,Centrosud (Italia)
20:30 20-09-2022,399,37,37,8990000.0,59700.0,0,0,0,0,0,0,487000,77314,298.5,1850000,928667,12680.28,2090000,638290,119.4,3550000,0.0,0.0,1600000,548390,220.89,1710000,-11687,,,0,0,7760000,1388056,11331.06,96000,899,5.97,,233740,2728.29, Centronord (Italia)_nan_-2167489.0_14393.67@, Sardegna (Italia)_1000000.0_267902.0_1999.95@ Meridione (Italia)_nan_4148885.0_26536.65@ Montenegro_600000.0_406348.0_3522.3@,Centrosud (Italia)
