timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,233,30,15,2200000,8570.0,,,,10000,,,117000,,,217000,,,925000,37400.0,6.86,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1239920.0,4968.03, Bosnia ed Erzegov_nan_-49940.0_194.54@ Serbia_1420000.0_-60940.0_237.39@, Ungheria_nan_645480.0_2525.58@ Slovenia_nan_246400.0_1047.25@,Croazia
19:10 20-09-2022,233,31,15,2230000,8640.0,,,,10000,,,117000,,,217000,,,925000,24307.0,4.32,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247685.0,4981.82, Bosnia ed Erzegov_nan_-50175.0_194.4@ Serbia_1420000.0_-61102.0_236.74@, Ungheria_nan_648484.0_2469.31@ Slovenia_nan_284548.0_1165.54@,Croazia
19:20 20-09-2022,233,31,15,2230000,8640.0,,,,10000,,,117000,,,217000,,,925000,24307.0,4.32,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247685.0,4981.82, Bosnia ed Erzegov_nan_-50175.0_194.4@ Serbia_1420000.0_-61102.0_236.74@, Ungheria_nan_648484.0_2469.31@ Slovenia_nan_284548.0_1165.54@,Croazia
19:30 20-09-2022,233,31,15,2230000,8640.0,,,,10000,,,117000,,,217000,,,925000,24307.0,4.32,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247685.0,4981.82, Bosnia ed Erzegov_nan_-50175.0_194.4@ Serbia_1420000.0_-61102.0_236.74@, Ungheria_nan_648484.0_2469.31@ Slovenia_nan_284548.0_1165.54@,Croazia
19:40 20-09-2022,233,31,15,2230000,8640.0,,,,10000,,,117000,,,217000,,,925000,24307.0,4.32,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247685.0,4981.82, Bosnia ed Erzegov_nan_-50175.0_194.4@ Serbia_1420000.0_-61102.0_236.74@, Ungheria_nan_648484.0_2469.31@ Slovenia_nan_284548.0_1165.54@,Croazia
19:50 20-09-2022,233,31,15,2230000,8640.0,,,,10000,,,117000,,,217000,,,925000,24307.0,4.32,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247685.0,4981.82, Bosnia ed Erzegov_nan_-50175.0_194.4@ Serbia_1420000.0_-61102.0_236.74@, Ungheria_nan_648484.0_2469.31@ Slovenia_nan_284548.0_1165.54@,Croazia
20:00 20-09-2022,235,29,15,2160000,8450.0,,,,10000,,,117000,,,217000,,,925000,24192.0,4.22,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1247832.0,4979.59, Bosnia ed Erzegov_nan_-9072.0_35.49@ Serbia_1420000.0_-57240.0_223.92@, Ungheria_nan_472176.0_1896.18@ Slovenia_nan_390960.0_1550.58@,Croazia
20:10 20-09-2022,236,27,13,2150000,8460.0,,,,10000,,,117000,,,217000,,,925000,32250.0,5.92,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1321820.0,5295.11, Bosnia ed Erzegov_nan_-9030.0_35.53@ Serbia_1420000.0_-56975.0_224.19@, Ungheria_nan_469990.0_1936.49@ Slovenia_nan_307450.0_1208.09@,Croazia
20:20 20-09-2022,236,27,13,2150000,8460.0,,,,10000,,,117000,,,217000,,,925000,32250.0,5.92,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1321820.0,5295.11, Bosnia ed Erzegov_nan_-9030.0_35.53@ Serbia_1420000.0_-56975.0_224.19@, Ungheria_nan_469990.0_1936.49@ Slovenia_nan_307450.0_1208.09@,Croazia
20:30 20-09-2022,236,27,13,2150000,8460.0,,,,10000,,,117000,,,217000,,,925000,32250.0,5.92,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1321820.0,5295.11, Bosnia ed Erzegov_nan_-9030.0_35.53@ Serbia_1420000.0_-56975.0_224.19@, Ungheria_nan_469990.0_1936.49@ Slovenia_nan_307450.0_1208.09@,Croazia
20:40 20-09-2022,236,27,13,2150000,8460.0,,,,10000,,,117000,,,217000,,,925000,32250.0,5.92,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1321820.0,5295.11, Bosnia ed Erzegov_nan_-9030.0_35.53@ Serbia_1420000.0_-56975.0_224.19@, Ungheria_nan_469990.0_1936.49@ Slovenia_nan_307450.0_1208.09@,Croazia
20:50 20-09-2022,236,27,13,2150000,8460.0,,,,10000,,,117000,,,217000,,,925000,32250.0,5.92,96000,0.0,0.0,1880000,,,281000,0,0,,0,0,750000,,,75000,,,57000,1321820.0,5295.11, Bosnia ed Erzegov_nan_-9030.0_35.53@ Serbia_1420000.0_-56975.0_224.19@, Ungheria_nan_469990.0_1936.49@ Slovenia_nan_307450.0_1208.09@,Croazia
