timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:0020-04-2022,171,78,72,3860000,11000,0,0,0,0,0,0,1020000,248970,954.8,1940000,369788,5061.1,5170000,881624,161.7,1090000,704450,529.1,7000,1158,0.0,0,0,0,0,0,0,1020000,213072,1741.3,196000,10036,108.9,,1930,23.1,Germania_nan_-1097784.0_3129.5@Danimarcaorientale(Danimarca)_600000.0_-255146.0_727.1@,PaesiBassi_700000.0_699432.0_1894.2@Sudovest(Norvegia)_1700000.0_45162.0_31.9@Svezia_715000.0_684764.0_493.9@
19:1020-04-2022,155,82,77,4230000,10900,0,0,0,0,0,0,1020000,398043,1526.0,1940000,465300,6362.33,5170000,1773639,324.82,1090000,301176,225.63,7000,1692,1.09,0,0,0,0,0,0,1020000,190773,1557.61,196000,10575,115.54,,2961,33.79,Germania_nan_-547362.0_1410.46@Danimarcaorientale(Danimarca)_600000.0_-358704.0_924.32@,PaesiBassi_700000.0_35955.0_95.92@Sudovest(Norvegia)_1700000.0_335016.0_149.33@Svezia_715000.0_715293.0_506.85@
19:2020-04-2022,155,82,77,4230000,10900,0,0,0,0,0,0,1020000,398043,1526.0,1940000,465300,6362.33,5170000,1773639,324.82,1090000,301176,225.63,7000,1692,1.09,0,0,0,0,0,0,1020000,190773,1557.61,196000,10575,115.54,,2961,33.79,Germania_nan_-547362.0_1410.46@Danimarcaorientale(Danimarca)_600000.0_-358704.0_924.32@,PaesiBassi_700000.0_35955.0_95.92@Sudovest(Norvegia)_1700000.0_335016.0_149.33@Svezia_715000.0_715293.0_506.85@
19:3020-04-2022,155,82,77,4230000,10900,0,0,0,0,0,0,1020000,398043,1526.0,1940000,465300,6362.33,5170000,1773639,324.82,1090000,301176,225.63,7000,1692,1.09,0,0,0,0,0,0,1020000,190773,1557.61,196000,10575,115.54,,2961,33.79,Germania_nan_-547362.0_1410.46@Danimarcaorientale(Danimarca)_600000.0_-358704.0_924.32@,PaesiBassi_700000.0_35955.0_95.92@Sudovest(Norvegia)_1700000.0_335016.0_149.33@Svezia_715000.0_715293.0_506.85@
19:4020-04-2022,155,82,77,4230000,10900,0,0,0,0,0,0,1020000,398043,1526.0,1940000,465300,6362.33,5170000,1773639,324.82,1090000,301176,225.63,7000,1692,1.09,0,0,0,0,0,0,1020000,190773,1557.61,196000,10575,115.54,,2961,33.79,Germania_nan_-547362.0_1410.46@Danimarcaorientale(Danimarca)_600000.0_-358704.0_924.32@,PaesiBassi_700000.0_35955.0_95.92@Sudovest(Norvegia)_1700000.0_335016.0_149.33@Svezia_715000.0_715293.0_506.85@
19:5020-04-2022,170,79,73,3560000,10100,0,0,0,0,0,0,1020000,338200,1295.83,1940000,385548,5262.1,5170000,979000,179.78,1090000,500536,374.71,7000,1068,0.0,0,0,0,0,0,0,1020000,257388,2098.78,196000,9968,108.07,,2136,23.23,Germania_nan_-547528.0_1553.38@Danimarcaorientale(Danimarca)_600000.0_-358848.0_1018.08@,PaesiBassi_700000.0_35956.0_109.08@Sudovest(Norvegia)_1700000.0_334996.0_141.4@Svezia_715000.0_715560.0_506.01@
20:0020-04-2022,170,79,73,3560000,10100,0,0,0,0,0,0,1020000,338200,1295.83,1940000,385548,5262.1,5170000,979000,179.78,1090000,500536,374.71,7000,1068,0.0,0,0,0,0,0,0,1020000,257388,2098.78,196000,9968,108.07,,2136,23.23,Germania_nan_-547528.0_1553.38@Danimarcaorientale(Danimarca)_600000.0_-358848.0_1018.08@,PaesiBassi_700000.0_35956.0_109.08@Sudovest(Norvegia)_1700000.0_334996.0_141.4@Svezia_715000.0_715560.0_506.01@
20:1020-04-2022,166,81,76,4640000,12800,0,0,0,0,0,0,1020000,428272,1638.4,1940000,567008,7736.32,5170000,1701952,311.04,1090000,160080,120.32,7000,1392,0.0,0,0,0,0,0,0,1020000,221328,1804.8,196000,12064,129.28,,2784,34.56,Germania_nan_-1180880.0_3258.88@Danimarcaorientale(Danimarca)_600000.0_-441728.0_1219.84@,PaesiBassi_700000.0_60784.0_183.04@Sudovest(Norvegia)_1700000.0_769776.0_344.32@Svezia_715000.0_714560.0_499.2@
20:2020-04-2022,166,81,76,4640000,12800,0,0,0,0,0,0,1020000,428272,1638.4,1940000,567008,7736.32,5170000,1701952,311.04,1090000,160080,120.32,7000,1392,0.0,0,0,0,0,0,0,1020000,221328,1804.8,196000,12064,129.28,,2784,34.56,Germania_nan_-1180880.0_3258.88@Danimarcaorientale(Danimarca)_600000.0_-441728.0_1219.84@,PaesiBassi_700000.0_60784.0_183.04@Sudovest(Norvegia)_1700000.0_769776.0_344.32@Svezia_715000.0_714560.0_499.2@
20:3020-04-2022,166,81,76,4640000,12800,0,0,0,0,0,0,1020000,428272,1638.4,1940000,567008,7736.32,5170000,1701952,311.04,1090000,160080,120.32,7000,1392,0.0,0,0,0,0,0,0,1020000,221328,1804.8,196000,12064,129.28,,2784,34.56,Germania_nan_-1180880.0_3258.88@Danimarcaorientale(Danimarca)_600000.0_-441728.0_1219.84@,PaesiBassi_700000.0_60784.0_183.04@Sudovest(Norvegia)_1700000.0_769776.0_344.32@Svezia_715000.0_714560.0_499.2@
