timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,152,85,80,2130000,5410,0,0,0,0,0,0,1380000,371046,1423.91,1220000,136107,1863.2,1780000,750612,137.95,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,59001,483.11,801000,22791,247.78,,,,, Germania_1000000.0_5112.0_24.35@ Danimarca occidentale (Danimarca)_600000.0_358053.0_921.86@ Svezia_1300000.0_294366.0_208.83@,Danimarca orientale (Danimarca)
19:10 20-09-2022,152,85,80,2130000,5410,0,0,0,0,0,0,1380000,371046,1423.91,1220000,136107,1863.2,1780000,750612,137.95,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,59001,483.11,801000,22791,247.78,,,,, Germania_1000000.0_5112.0_24.35@ Danimarca occidentale (Danimarca)_600000.0_358053.0_921.86@ Svezia_1300000.0_294366.0_208.83@,Danimarca orientale (Danimarca)
19:20 20-09-2022,152,85,80,2130000,5410,0,0,0,0,0,0,1380000,371046,1423.91,1220000,136107,1863.2,1780000,750612,137.95,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,59001,483.11,801000,22791,247.78,,,,, Germania_1000000.0_5112.0_24.35@ Danimarca occidentale (Danimarca)_600000.0_358053.0_921.86@ Svezia_1300000.0_294366.0_208.83@,Danimarca orientale (Danimarca)
19:30 20-09-2022,152,85,80,2130000,5410,0,0,0,0,0,0,1380000,371046,1423.91,1220000,136107,1863.2,1780000,750612,137.95,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,59001,483.11,801000,22791,247.78,,,,, Germania_1000000.0_5112.0_24.35@ Danimarca occidentale (Danimarca)_600000.0_358053.0_921.86@ Svezia_1300000.0_294366.0_208.83@,Danimarca orientale (Danimarca)
19:40 20-09-2022,156,80,74,1710000,4460,0,0,0,0,0,0,1380000,132867,510.22,1220000,94905,1299.2,1780000,498465,91.43,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,118845,972.28,801000,17955,194.9,,,,, Germania_1000000.0_5130.0_24.53@ Danimarca occidentale (Danimarca)_600000.0_357903.0_1015.99@ Svezia_1300000.0_294291.0_208.73@,Danimarca orientale (Danimarca)
19:50 20-09-2022,156,80,74,1710000,4460,0,0,0,0,0,0,1380000,132867,510.22,1220000,94905,1299.2,1780000,498465,91.43,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,118845,972.28,801000,17955,194.9,,,,, Germania_1000000.0_5130.0_24.53@ Danimarca occidentale (Danimarca)_600000.0_357903.0_1015.99@ Svezia_1300000.0_294291.0_208.73@,Danimarca orientale (Danimarca)
20:00 20-09-2022,156,80,74,1710000,4460,0,0,0,0,0,0,1380000,132867,510.22,1220000,94905,1299.2,1780000,498465,91.43,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,118845,972.28,801000,17955,194.9,,,,, Germania_1000000.0_5130.0_24.53@ Danimarca occidentale (Danimarca)_600000.0_357903.0_1015.99@ Svezia_1300000.0_294291.0_208.73@,Danimarca orientale (Danimarca)
20:10 20-09-2022,165,84,78,2280000,6270,0,0,0,0,0,0,1380000,426588,1632.08,1220000,142500,1943.7,1780000,731652,133.55,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,70452,573.71,801000,24852,268.98,,,,, Germania_1000000.0_37164.0_212.55@ Danimarca occidentale (Danimarca)_600000.0_442320.0_1219.52@ Svezia_1300000.0_344736.0_240.77@,Danimarca orientale (Danimarca)
20:20 20-09-2022,165,84,78,2280000,6270,0,0,0,0,0,0,1380000,426588,1632.08,1220000,142500,1943.7,1780000,731652,133.55,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,70452,573.71,801000,24852,268.98,,,,, Germania_1000000.0_37164.0_212.55@ Danimarca occidentale (Danimarca)_600000.0_442320.0_1219.52@ Svezia_1300000.0_344736.0_240.77@,Danimarca orientale (Danimarca)
20:30 20-09-2022,165,84,78,2280000,6270,0,0,0,0,0,0,1380000,426588,1632.08,1220000,142500,1943.7,1780000,731652,133.55,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,70452,573.71,801000,24852,268.98,,,,, Germania_1000000.0_37164.0_212.55@ Danimarca occidentale (Danimarca)_600000.0_442320.0_1219.52@ Svezia_1300000.0_344736.0_240.77@,Danimarca orientale (Danimarca)
20:40 20-09-2022,165,84,78,2280000,6270,0,0,0,0,0,0,1380000,426588,1632.08,1220000,142500,1943.7,1780000,731652,133.55,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,70452,573.71,801000,24852,268.98,,,,, Germania_1000000.0_37164.0_212.55@ Danimarca occidentale (Danimarca)_600000.0_442320.0_1219.52@ Svezia_1300000.0_344736.0_240.77@,Danimarca orientale (Danimarca)
20:50 20-09-2022,165,84,78,2280000,6270,0,0,0,0,0,0,1380000,426588,1632.08,1220000,142500,1943.7,1780000,731652,133.55,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,70452,573.71,801000,24852,268.98,,,,, Germania_1000000.0_37164.0_212.55@ Danimarca occidentale (Danimarca)_600000.0_442320.0_1219.52@ Svezia_1300000.0_344736.0_240.77@,Danimarca orientale (Danimarca)
21:00 20-09-2022,171,78,71,1710000,4870,0,0,0,0,0,0,1380000,87039,333.59,1220000,85158,1162.47,1780000,485469,89.12,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,109098,890.72,801000,15048,162.66,,,,, Germania_1000000.0_36936.0_217.2@ Danimarca occidentale (Danimarca)_600000.0_441693.0_1694.76@ Svezia_1300000.0_344394.0_241.06@,Danimarca orientale (Danimarca)
21:10 20-09-2022,177,82,76,2230000,6600,0,0,0,0,0,0,1380000,401623,1541.1,1220000,142943,1956.24,1780000,700443,128.7,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,68461,559.68,801000,24753,267.3,,,,, Germania_1000000.0_142497.0_786.06@ Danimarca occidentale (Danimarca)_600000.0_398278.0_1116.06@ Svezia_1300000.0_338291.0_234.3@,Danimarca orientale (Danimarca)
21:20 20-09-2022,177,82,76,2230000,6600,0,0,0,0,0,0,1380000,401623,1541.1,1220000,142943,1956.24,1780000,700443,128.7,450000,0.0,0.0,0,0,0,0,0,0,0,0,0,603000,68461,559.68,801000,24753,267.3,,,,, Germania_1000000.0_142497.0_786.06@ Danimarca occidentale (Danimarca)_600000.0_398278.0_1116.06@ Svezia_1300000.0_338291.0_234.3@,Danimarca orientale (Danimarca)
