timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
19:10 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
19:20 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
19:30 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
19:40 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
19:50 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
20:00 20-09-2022,93,87,87,10600.0,16.3,,0,0,,0,0,,0,0,,0,0,11500,9246.38,1.69,,0,0,,0,0,11300,-4563.3,,,0,0,,0,0,11800,1353.62,14.61,,,,,,El Hierro (Spagna)
20:10 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
20:20 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
20:30 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
20:40 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
20:50 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
21:00 20-09-2022,86,88,88,10500.0,15.0,,0,0,,0,0,,0,0,,0,0,11500,9256.8,1.69,,0,0,,0,0,11300,-4532.85,,,0,0,,0,0,11800,1233.75,13.31,,,,,,El Hierro (Spagna)
21:10 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
21:20 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
21:30 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
21:40 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
21:50 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
22:00 20-09-2022,113,84,84,10100.0,19.1,,0,0,,0,0,,0,0,,0,0,11500,8482.99,1.56,,0,0,,0,0,11300,-3872.34,,,0,0,,0,0,11800,1617.01,17.54,,,,,,El Hierro (Spagna)
22:10 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
22:20 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
22:30 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
22:40 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
22:50 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
23:00 20-09-2022,107,85,85,10800.0,19.2,,0,0,,0,0,,0,0,,0,0,11500,9183.24,1.68,,0,0,,0,0,11300,-4511.16,,,0,0,,0,0,11800,1616.76,17.52,,,,,,El Hierro (Spagna)
23:10 20-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
23:20 20-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
23:30 20-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
23:40 20-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
23:50 20-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
00:00 21-09-2022,98,86,86,11000.0,18.0,,0,0,,0,0,,0,0,,0,0,11500,9497.4,1.74,,0,0,,0,0,11300,-4407.7,,,0,0,,0,0,11800,1502.6,16.26,,,,,,El Hierro (Spagna)
00:10 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
00:20 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
00:30 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
00:40 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
00:50 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
01:00 21-09-2022,99,86,86,11500.0,18.9,,0,0,,0,0,,0,0,,0,0,11500,9919.9,1.81,,0,0,,0,0,11300,-4399.9,,,0,0,,0,0,11800,1580.1,17.09,,,,,,El Hierro (Spagna)
01:10 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
01:20 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
01:30 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
01:40 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
01:50 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
02:00 21-09-2022,112,84,84,10400.0,19.3,,0,0,,0,0,,0,0,,0,0,11500,8762.0,1.6,,0,0,,0,0,11300,-4019.6,,,0,0,,0,0,11800,1638.0,17.7,,,,,,El Hierro (Spagna)
02:10 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
02:20 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
02:30 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
02:40 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
02:50 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
03:00 21-09-2022,104,86,86,10500.0,18.1,,0,0,,0,0,,0,0,,0,0,11500,8986.95,1.64,,0,0,,0,0,11300,-4628.4,,,0,0,,0,0,11800,1522.5,16.46,,,,,,El Hierro (Spagna)
03:10 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
03:20 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
03:30 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
03:40 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
03:50 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
04:00 21-09-2022,70,91,91,9550.0,11.1,,0,0,,0,0,,0,0,,0,0,11500,8670.44,1.59,,0,0,,0,0,11300,-4269.81,,,0,0,,0,0,11800,879.56,9.51,,,,,,El Hierro (Spagna)
04:10 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
04:20 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
04:30 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
04:40 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
04:50 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
05:00 21-09-2022,65,91,91,9030.0,9.86,,0,0,,0,0,,0,0,,0,0,11500,8269.67,1.52,,0,0,,0,0,11300,-3770.02,,,0,0,,0,0,11800,770.26,8.34,,,,,,El Hierro (Spagna)
05:10 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
05:20 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
05:30 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
05:40 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
05:50 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
06:00 21-09-2022,72,91,91,8450.0,10.1,,0,0,,0,0,,0,0,,0,0,11500,7649.78,1.41,,0,0,,0,0,11300,-3470.41,,,0,0,,0,0,11800,800.22,8.69,,,,,,El Hierro (Spagna)
06:10 21-09-2022,67,91,91,8780.0,9.81,,0,0,,0,0,,0,0,,0,0,11500,8019.65,1.47,,0,0,,0,0,11300,-3850.03,,,0,0,,0,0,11800,770.01,8.34,,,,,,El Hierro (Spagna)
06:20 21-09-2022,67,91,91,8780.0,9.81,,0,0,,0,0,,0,0,,0,0,11500,8019.65,1.47,,0,0,,0,0,11300,-3850.03,,,0,0,,0,0,11800,770.01,8.34,,,,,,El Hierro (Spagna)
