timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:0020-04-2022,150,80,32,8980000.0,22500,4370000,3649472,729.0,0,0,0,2010000,730972,2801.25,2800000,556760,7607.25,3180000,135598,24.75,215000,,,3170000,1163808,465.75,,0,0,,0,0,1940000,164334,1338.75,1050000,9878,108.0,784000,37716,443.25,landiaèesportata_9000.0_-2694.0_6.75@landiaèesportata_1000000.0_-749830.0_1878.75@,Nord(Norvegia)_nan_21552.0_11.25@RussiaeuropeaeUral(Russia)_1560000.0_1371246.0_8151.75@Svezia_2700000.0_1138664.0_819.0@
19:1020-04-2022,161,79,40,10500000.0,28100,4370000,3416700,682.83,0,0,0,2010000,705600,2703.22,2800000,930300,12706.82,3180000,841050,154.55,215000,,,3170000,1783950,713.74,,0,0,,0,0,1940000,147000,1197.06,1050000,13650,146.12,784000,67200,786.8,landiaèesportata_9000.0_-2100.0_5.62@landiaèesportata_1000000.0_-857850.0_2295.77@,Nord(Norvegia)_nan_15750.0_8.43@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8146.19@Svezia_2700000.0_1207500.0_854.24@
19:2020-04-2022,161,79,40,10500000.0,28100,4370000,3416700,682.83,0,0,0,2010000,705600,2703.22,2800000,930300,12706.82,3180000,841050,154.55,215000,,,3170000,1783950,713.74,,0,0,,0,0,1940000,147000,1197.06,1050000,13650,146.12,784000,67200,786.8,landiaèesportata_9000.0_-2100.0_5.62@landiaèesportata_1000000.0_-857850.0_2295.77@,Nord(Norvegia)_nan_15750.0_8.43@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8146.19@Svezia_2700000.0_1207500.0_854.24@
19:3020-04-2022,161,79,40,10500000.0,28100,4370000,3416700,682.83,0,0,0,2010000,705600,2703.22,2800000,930300,12706.82,3180000,841050,154.55,215000,,,3170000,1783950,713.74,,0,0,,0,0,1940000,147000,1197.06,1050000,13650,146.12,784000,67200,786.8,landiaèesportata_9000.0_-2100.0_5.62@landiaèesportata_1000000.0_-857850.0_2295.77@,Nord(Norvegia)_nan_15750.0_8.43@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8146.19@Svezia_2700000.0_1207500.0_854.24@
19:4020-04-2022,161,79,40,10500000.0,28100,4370000,3416700,682.83,0,0,0,2010000,705600,2703.22,2800000,930300,12706.82,3180000,841050,154.55,215000,,,3170000,1783950,713.74,,0,0,,0,0,1940000,147000,1197.06,1050000,13650,146.12,784000,67200,786.8,landiaèesportata_9000.0_-2100.0_5.62@landiaèesportata_1000000.0_-857850.0_2295.77@,Nord(Norvegia)_nan_15750.0_8.43@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8146.19@Svezia_2700000.0_1207500.0_854.24@
19:5020-04-2022,149,80,32,9100000.0,22700,4370000,3647280,730.94,0,0,0,2010000,733460,2819.34,2800000,565110,7736.16,3180000,133770,24.97,215000,,,3170000,1220310,490.32,,0,0,,0,0,1940000,161980,1325.68,1050000,10010,108.96,784000,38220,444.92,landiaèesportata_9000.0_-1820.0_4.54@landiaèesportata_1000000.0_-856310.0_2136.07@,Nord(Norvegia)_nan_16380.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1368640.0_8156.11@Svezia_2700000.0_1204840.0_855.79@
20:0020-04-2022,149,80,32,9100000.0,22700,4370000,3647280,730.94,0,0,0,2010000,733460,2819.34,2800000,565110,7736.16,3180000,133770,24.97,215000,,,3170000,1220310,490.32,,0,0,,0,0,1940000,161980,1325.68,1050000,10010,108.96,784000,38220,444.92,landiaèesportata_9000.0_-1820.0_4.54@landiaèesportata_1000000.0_-856310.0_2136.07@,Nord(Norvegia)_nan_16380.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1368640.0_8156.11@Svezia_2700000.0_1204840.0_855.79@
20:1020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
20:2020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
20:3020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
20:4020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
20:5020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
21:0020-04-2022,145,81,34,9410000.0,22700,4370000,3650139,730.94,0,0,0,2010000,723629,2776.21,2800000,555190,7597.69,3180000,127035,22.7,215000,,,3170000,1508423,603.82,,0,0,,0,0,1940000,162793,1332.49,1050000,10351,108.96,784000,41404,478.97,landiaèesportata_9000.0_-1882.0_4.54@landiaèesportata_1000000.0_-931590.0_2247.3@,Nord(Norvegia)_nan_16938.0_9.08@RussiaeuropeaeUral(Russia)_1560000.0_1371037.0_8165.19@Svezia_2700000.0_1243061.0_871.68@
21:1020-04-2022,143,81,35,9450000.0,22500,4370000,3650535,731.25,0,0,0,2010000,715365,2742.75,2800000,548100,7492.5,3180000,183330,33.75,215000,,,3170000,1623510,650.25,,0,0,,0,0,1940000,155925,1275.75,1050000,10395,108.0,784000,45360,524.25,landiaèesportata_9000.0_-1890.0_4.5@landiaèesportata_1000000.0_-998865.0_2378.25@,Nord(Norvegia)_nan_14175.0_6.75@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8149.5@Svezia_2700000.0_1133055.0_785.25@
21:2020-04-2022,143,81,35,9450000.0,22500,4370000,3650535,731.25,0,0,0,2010000,715365,2742.75,2800000,548100,7492.5,3180000,183330,33.75,215000,,,3170000,1623510,650.25,,0,0,,0,0,1940000,155925,1275.75,1050000,10395,108.0,784000,45360,524.25,landiaèesportata_9000.0_-1890.0_4.5@landiaèesportata_1000000.0_-998865.0_2378.25@,Nord(Norvegia)_nan_14175.0_6.75@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8149.5@Svezia_2700000.0_1133055.0_785.25@
21:3020-04-2022,143,81,35,9450000.0,22500,4370000,3650535,731.25,0,0,0,2010000,715365,2742.75,2800000,548100,7492.5,3180000,183330,33.75,215000,,,3170000,1623510,650.25,,0,0,,0,0,1940000,155925,1275.75,1050000,10395,108.0,784000,45360,524.25,landiaèesportata_9000.0_-1890.0_4.5@landiaèesportata_1000000.0_-998865.0_2378.25@,Nord(Norvegia)_nan_14175.0_6.75@RussiaeuropeaeUral(Russia)_1560000.0_1370250.0_8149.5@Svezia_2700000.0_1133055.0_785.25@
