timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
19:10 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
19:20 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
19:30 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
19:40 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
19:50 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
20:00 20-04-2022,453,31,31,174000,1310,,0,0,,0,0,,0,0,,0,0,,41203.2,7.47,,13032.6,9.69,,0,0,,0,0,,0,0,,0,0,,119746.8,1292.71,,,,,
20:10 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
20:20 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
20:30 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
20:40 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
20:50 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
21:00 20-04-2022,473,28,28,177000,1400,,0,0,,0,0,,0,0,,0,0,,40674.6,7.42,,8708.4,6.58,,0,0,,0,0,,0,0,,0,0,,127617.0,1386.0,,,,,
21:10 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
21:20 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
21:30 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
21:40 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
21:50 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
22:00 20-04-2022,495,24,24,185000,1530,,0,0,,0,0,,0,0,,0,0,,40811.0,7.5,,4440.0,3.37,,0,0,,0,0,,0,0,,0,0,,139749.0,1519.14,,,,,
