timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,283,67,60,66500000.0,314000,4060000,3943450,785.0,47000,19950,0.0,9420000,5133800,19687.8,39900000,16611700,227210.4,64300000,9489550,1727.0,59400000,0.0,0.0,4940000,1310050,533.8,9800000,-2660000,,580000,0,0,31700000,3697400,30206.8,4680000,292600,3171.4,3700000,518700,6028.8, Austria_nan_-2161250.0_10205.0@ Svizzera_nan_-1369900.0_6468.4@ Cechia_nan_-1729000.0_8164.0@ Danimarca orientale (Danimarca)_1000000.0_-119700.0_565.2@ Francia_nan_-19950.0_94.2@ Lussemburgo_nan_-192850.0_910.6@ Polonia_nan_-1323350.0_6248.6@, Belgio_1000000.0_964250.0_1915.4@ Danimarca occidentale (Danimarca)_nan_1097250.0_3140.0@ Paesi Bassi_nan_1024100.0_2763.2@ Sudovest (Norvegia)_1400000.0_538650.0_376.8@ Svezia_615000.0_252700.0_188.4@,Germania
19:10 20-09-2022,299,64,57,67200000.0,335000,4060000,3964800,804.0,47000,20160,0.0,9420000,5120640,19631.0,39900000,17969280,245454.5,64300000,19763520,3618.0,59400000,0.0,0.0,4940000,1263360,502.5,9800000,295680,1474.0,580000,0,0,31700000,4851840,39597.0,4680000,383040,4154.0,3700000,456960,5360.0, Austria_nan_-1774080.0_8844.0@ Svizzera_nan_-786240.0_3919.5@ Cechia_nan_-1727040.0_8609.5@ Danimarca orientale (Danimarca)_1000000.0_-6720.0_33.5@ Francia_nan_-20160.0_100.5@ Lussemburgo_nan_-194880.0_971.5@ Polonia_nan_-1323840.0_6599.5@, Belgio_1000000.0_477120.0_1005.0@ Danimarca occidentale (Danimarca)_nan_544320.0_1407.0@ Paesi Bassi_nan_1700160.0_4522.5@ Sudovest (Norvegia)_1400000.0_826560.0_368.5@ Svezia_615000.0_248640.0_167.5@,Germania
19:20 20-09-2022,299,64,57,67200000.0,335000,4060000,3964800,804.0,47000,20160,0.0,9420000,5120640,19631.0,39900000,17969280,245454.5,64300000,19763520,3618.0,59400000,0.0,0.0,4940000,1263360,502.5,9800000,295680,1474.0,580000,0,0,31700000,4851840,39597.0,4680000,383040,4154.0,3700000,456960,5360.0, Austria_nan_-1774080.0_8844.0@ Svizzera_nan_-786240.0_3919.5@ Cechia_nan_-1727040.0_8609.5@ Danimarca orientale (Danimarca)_1000000.0_-6720.0_33.5@ Francia_nan_-20160.0_100.5@ Lussemburgo_nan_-194880.0_971.5@ Polonia_nan_-1323840.0_6599.5@, Belgio_1000000.0_477120.0_1005.0@ Danimarca occidentale (Danimarca)_nan_544320.0_1407.0@ Paesi Bassi_nan_1700160.0_4522.5@ Sudovest (Norvegia)_1400000.0_826560.0_368.5@ Svezia_615000.0_248640.0_167.5@,Germania
19:30 20-09-2022,299,64,57,67200000.0,335000,4060000,3964800,804.0,47000,20160,0.0,9420000,5120640,19631.0,39900000,17969280,245454.5,64300000,19763520,3618.0,59400000,0.0,0.0,4940000,1263360,502.5,9800000,295680,1474.0,580000,0,0,31700000,4851840,39597.0,4680000,383040,4154.0,3700000,456960,5360.0, Austria_nan_-1774080.0_8844.0@ Svizzera_nan_-786240.0_3919.5@ Cechia_nan_-1727040.0_8609.5@ Danimarca orientale (Danimarca)_1000000.0_-6720.0_33.5@ Francia_nan_-20160.0_100.5@ Lussemburgo_nan_-194880.0_971.5@ Polonia_nan_-1323840.0_6599.5@, Belgio_1000000.0_477120.0_1005.0@ Danimarca occidentale (Danimarca)_nan_544320.0_1407.0@ Paesi Bassi_nan_1700160.0_4522.5@ Sudovest (Norvegia)_1400000.0_826560.0_368.5@ Svezia_615000.0_248640.0_167.5@,Germania
19:40 20-09-2022,299,64,57,67200000.0,335000,4060000,3964800,804.0,47000,20160,0.0,9420000,5120640,19631.0,39900000,17969280,245454.5,64300000,19763520,3618.0,59400000,0.0,0.0,4940000,1263360,502.5,9800000,295680,1474.0,580000,0,0,31700000,4851840,39597.0,4680000,383040,4154.0,3700000,456960,5360.0, Austria_nan_-1774080.0_8844.0@ Svizzera_nan_-786240.0_3919.5@ Cechia_nan_-1727040.0_8609.5@ Danimarca orientale (Danimarca)_1000000.0_-6720.0_33.5@ Francia_nan_-20160.0_100.5@ Lussemburgo_nan_-194880.0_971.5@ Polonia_nan_-1323840.0_6599.5@, Belgio_1000000.0_477120.0_1005.0@ Danimarca occidentale (Danimarca)_nan_544320.0_1407.0@ Paesi Bassi_nan_1700160.0_4522.5@ Sudovest (Norvegia)_1400000.0_826560.0_368.5@ Svezia_615000.0_248640.0_167.5@,Germania
19:50 20-09-2022,314,62,55,62900000.0,329000,4060000,3943830,789.6,47000,18870,0.0,9420000,5126350,19641.3,39900000,17731510,242308.5,64300000,10806220,1974.0,59400000,0.0,0.0,4940000,1415250,559.3,9800000,-717060,,580000,0,0,31700000,4264620,34841.1,4680000,295630,3191.3,3700000,515780,6020.7, Austria_nan_-1704590.0_8915.9@ Svizzera_nan_-748510.0_3915.1@ Cechia_nan_-1603950.0_8389.5@ Danimarca orientale (Danimarca)_1000000.0_-6290.0_32.9@ Lussemburgo_nan_-201280.0_1052.8@ Polonia_nan_-1390090.0_7270.9@, Belgio_1000000.0_478040.0_690.9@ Danimarca occidentale (Danimarca)_nan_547230.0_1546.3@ Francia_nan_930920.0_1217.3@ Paesi Bassi_nan_1710880.0_5165.3@ Sudovest (Norvegia)_1400000.0_849150.0_361.9@ Svezia_615000.0_251600.0_164.5@,Germania
20:00 20-09-2022,314,62,55,62900000.0,329000,4060000,3943830,789.6,47000,18870,0.0,9420000,5126350,19641.3,39900000,17731510,242308.5,64300000,10806220,1974.0,59400000,0.0,0.0,4940000,1415250,559.3,9800000,-717060,,580000,0,0,31700000,4264620,34841.1,4680000,295630,3191.3,3700000,515780,6020.7, Austria_nan_-1704590.0_8915.9@ Svizzera_nan_-748510.0_3915.1@ Cechia_nan_-1603950.0_8389.5@ Danimarca orientale (Danimarca)_1000000.0_-6290.0_32.9@ Lussemburgo_nan_-201280.0_1052.8@ Polonia_nan_-1390090.0_7270.9@, Belgio_1000000.0_478040.0_690.9@ Danimarca occidentale (Danimarca)_nan_547230.0_1546.3@ Francia_nan_930920.0_1217.3@ Paesi Bassi_nan_1710880.0_5165.3@ Sudovest (Norvegia)_1400000.0_849150.0_361.9@ Svezia_615000.0_251600.0_164.5@,Germania
20:10 20-09-2022,345,57,48,59900000.0,345000,4060000,3941420,793.5,47000,23960,0.0,9420000,4037260,15490.5,39900000,18634890,254886.0,64300000,11285160,2070.0,59400000,0.0,0.0,4940000,1353740,552.0,9800000,0,0.0,580000,0,0,31700000,5133430,41986.5,4680000,293510,3174.0,3700000,515140,6037.5, Austria_nan_-784690.0_4519.5@ Svizzera_nan_-323460.0_1863.0@ Cechia_nan_-1605320.0_9246.0@ Danimarca orientale (Danimarca)_1000000.0_-35940.0_207.0@ Lussemburgo_nan_-209650.0_1207.5@ Polonia_nan_-1389680.0_8004.0@, Belgio_1000000.0_730780.0_1656.0@ Danimarca occidentale (Danimarca)_nan_1180030.0_3243.0@ Francia_nan_934440.0_1311.0@ Paesi Bassi_nan_2342090.0_7072.5@ Sudovest (Norvegia)_1400000.0_1293840.0_586.5@ Svezia_615000.0_251580.0_172.5@,Germania
20:20 20-09-2022,345,57,48,59900000.0,345000,4060000,3941420,793.5,47000,23960,0.0,9420000,4037260,15490.5,39900000,18634890,254886.0,64300000,11285160,2070.0,59400000,0.0,0.0,4940000,1353740,552.0,9800000,0,0.0,580000,0,0,31700000,5133430,41986.5,4680000,293510,3174.0,3700000,515140,6037.5, Austria_nan_-784690.0_4519.5@ Svizzera_nan_-323460.0_1863.0@ Cechia_nan_-1605320.0_9246.0@ Danimarca orientale (Danimarca)_1000000.0_-35940.0_207.0@ Lussemburgo_nan_-209650.0_1207.5@ Polonia_nan_-1389680.0_8004.0@, Belgio_1000000.0_730780.0_1656.0@ Danimarca occidentale (Danimarca)_nan_1180030.0_3243.0@ Francia_nan_934440.0_1311.0@ Paesi Bassi_nan_2342090.0_7072.5@ Sudovest (Norvegia)_1400000.0_1293840.0_586.5@ Svezia_615000.0_251580.0_172.5@,Germania
20:30 20-09-2022,345,57,48,59900000.0,345000,4060000,3941420,793.5,47000,23960,0.0,9420000,4037260,15490.5,39900000,18634890,254886.0,64300000,11285160,2070.0,59400000,0.0,0.0,4940000,1353740,552.0,9800000,0,0.0,580000,0,0,31700000,5133430,41986.5,4680000,293510,3174.0,3700000,515140,6037.5, Austria_nan_-784690.0_4519.5@ Svizzera_nan_-323460.0_1863.0@ Cechia_nan_-1605320.0_9246.0@ Danimarca orientale (Danimarca)_1000000.0_-35940.0_207.0@ Lussemburgo_nan_-209650.0_1207.5@ Polonia_nan_-1389680.0_8004.0@, Belgio_1000000.0_730780.0_1656.0@ Danimarca occidentale (Danimarca)_nan_1180030.0_3243.0@ Francia_nan_934440.0_1311.0@ Paesi Bassi_nan_2342090.0_7072.5@ Sudovest (Norvegia)_1400000.0_1293840.0_586.5@ Svezia_615000.0_251580.0_172.5@,Germania
