timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
19:10 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
19:20 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
19:30 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
19:40 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
19:50 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
20:00 20-09-2022,359,46,46,404000,2420,,0,0,,0,0,,0,0,,0,0,,157398.4,28.8,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,218725.6,2370.15,,,,,,Gran Canaria (Spagna)
20:10 20-09-2022,375,43,43,402000,2510,,0,0,,0,0,,0,0,,0,0,,156619.2,28.61,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,227773.2,2468.08,,,,,,Gran Canaria (Spagna)
20:20 20-09-2022,375,43,43,402000,2510,,0,0,,0,0,,0,0,,0,0,,156619.2,28.61,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,227773.2,2468.08,,,,,,Gran Canaria (Spagna)
20:30 20-09-2022,375,43,43,402000,2510,,0,0,,0,0,,0,0,,0,0,,156619.2,28.61,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,,227773.2,2468.08,,,,,,Gran Canaria (Spagna)
