timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
19:10 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
19:20 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
19:30 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
19:40 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
19:50 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
20:00 20-09-2022,416,23,20,103000,717,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,14564.2,158.31,,0,0, Formentera (Spagna)_nan_-4150.9_28.9@, Maiorca (Spagna)_nan_88435.8_558.69@,Ibiza (Spagna)
20:10 20-09-2022,434,19,16,107000,771,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,16231.9,175.33,,0,0, Formentera (Spagna)_nan_-4932.7_35.54@, Maiorca (Spagna)_nan_90768.1_595.67@,Ibiza (Spagna)
20:20 20-09-2022,434,19,16,107000,771,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,16231.9,175.33,,0,0, Formentera (Spagna)_nan_-4932.7_35.54@, Maiorca (Spagna)_nan_90768.1_595.67@,Ibiza (Spagna)
20:30 20-09-2022,434,19,16,107000,771,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,,16231.9,175.33,,0,0, Formentera (Spagna)_nan_-4932.7_35.54@, Maiorca (Spagna)_nan_90768.1_595.67@,Ibiza (Spagna)
