timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
19:10 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
19:20 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
19:30 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
19:40 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
19:50 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
20:00 20-09-2022,252,55,55,3260000,13700.0,0,0,0,,,,109000,,,1200000,194622,2661.91,4170000,1693896,310.99,36000,,,216000,84108,34.25,292000,7172,43.84,,0,0,4270000,1207504,9862.63,1270000,69438,752.13,647000,2934,35.62,, è importato _500000.0_nan_nan@,Irlanda
20:10 20-09-2022,290,50,50,3420000,16500.0,0,0,0,,,,109000,,,1200000,281808,3844.5,4170000,1553364,283.8,36000,,,216000,84474,33.0,292000,76608,465.3,,0,0,4270000,1328328,10832.25,1270000,85500,924.0,647000,9918,117.15,, è importato _500000.0_nan_nan@,Irlanda
20:20 20-09-2022,290,50,50,3420000,16500.0,0,0,0,,,,109000,,,1200000,281808,3844.5,4170000,1553364,283.8,36000,,,216000,84474,33.0,292000,76608,465.3,,0,0,4270000,1328328,10832.25,1270000,85500,924.0,647000,9918,117.15,, è importato _500000.0_nan_nan@,Irlanda
20:30 20-09-2022,290,50,50,3420000,16500.0,0,0,0,,,,109000,,,1200000,281808,3844.5,4170000,1553364,283.8,36000,,,216000,84474,33.0,292000,76608,465.3,,0,0,4270000,1328328,10832.25,1270000,85500,924.0,647000,9918,117.15,, è importato _500000.0_nan_nan@,Irlanda
