timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
19:10 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
19:20 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
19:30 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
19:40 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
19:50 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
20:00 20-09-2022,650,0,0,7830.0,84.8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7830,84.8,,,,,,La Gomera (Spagna)
20:10 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
20:20 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
20:30 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
20:40 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
20:50 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
21:00 20-09-2022,650,0,0,7930.0,85.9,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,7930,85.9,,,,,,La Gomera (Spagna)
21:10 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
21:20 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
21:30 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
21:40 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
21:50 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
22:00 20-09-2022,650,0,0,8130.000000000001,88.1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,22800,8130,88.1,,,,,,La Gomera (Spagna)
