timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
19:10 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
19:20 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
19:30 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
19:40 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
19:50 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
20:00 20-04-2022,512,22,22,26900,230,,0,0,,0,0,,0,0,,0,0,,4513.82,0.83,,1369.21,1.04,,0,0,,0,0,,0,0,,0,0,,21027.73,228.14,,,,,,La Palma (Spagna)
20:10 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
20:20 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
20:30 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
20:40 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
20:50 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
21:00 20-04-2022,516,21,21,27100,233,,0,0,,0,0,,0,0,,0,0,,4533.83,0.84,,1222.21,0.91,,0,0,,0,0,,0,0,,0,0,,21343.96,231.25,,,,,,La Palma (Spagna)
21:10 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
21:20 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
21:30 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
21:40 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
21:50 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
22:00 20-04-2022,530,19,19,27600,244,,0,0,,0,0,,0,0,,0,0,,4523.64,0.83,,701.04,0.54,,0,0,,0,0,,0,0,,0,0,,22386.36,242.63,,,,,,La Palma (Spagna)
