timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,121,90,84,1450000,2910.0,,,,,,,164000,42050.0,160.63,,,,87000,16095.0,2.91,14000,,,1590000,999775.0,398.09,,0,0,,0,0,1160000,0.0,0.0,,,,,35090.0,407.69, Lituania_nan_-638290.0_1282.44@, Estonia_nan_355830.0_1935.44@ Russia europea e Ural (Russia)_696000.0_1015.0_5.24@,Lettonia
19:10 20-09-2022,120,90,85,1450000,2900.0,,,,,,,164000,42050.0,160.95,,,,87000,15950.0,2.9,14000,,,1590000,996585.0,399.04,,0,0,,0,0,1160000,0.0,0.0,,,,,34945.0,408.61, Lituania_nan_-646700.0_1296.01@, Estonia_nan_359745.0_1925.31@ Russia europea e Ural (Russia)_696000.0_725.0_3.48@,Lettonia
19:20 20-09-2022,120,90,85,1450000,2900.0,,,,,,,164000,42050.0,160.95,,,,87000,15950.0,2.9,14000,,,1590000,996585.0,399.04,,0,0,,0,0,1160000,0.0,0.0,,,,,34945.0,408.61, Lituania_nan_-646700.0_1296.01@, Estonia_nan_359745.0_1925.31@ Russia europea e Ural (Russia)_696000.0_725.0_3.48@,Lettonia
19:30 20-09-2022,120,90,85,1450000,2900.0,,,,,,,164000,42050.0,160.95,,,,87000,15950.0,2.9,14000,,,1590000,996585.0,399.04,,0,0,,0,0,1160000,0.0,0.0,,,,,34945.0,408.61, Lituania_nan_-646700.0_1296.01@, Estonia_nan_359745.0_1925.31@ Russia europea e Ural (Russia)_696000.0_725.0_3.48@,Lettonia
19:40 20-09-2022,120,90,85,1450000,2900.0,,,,,,,164000,42050.0,160.95,,,,87000,15950.0,2.9,14000,,,1590000,996585.0,399.04,,0,0,,0,0,1160000,0.0,0.0,,,,,34945.0,408.61, Lituania_nan_-646700.0_1296.01@, Estonia_nan_359745.0_1925.31@ Russia europea e Ural (Russia)_696000.0_725.0_3.48@,Lettonia
19:50 20-09-2022,122,90,83,1460000,2960.0,,,,,,,164000,45114.0,172.27,,,,87000,23068.0,4.14,14000,,,1590000,995720.0,396.94,,0,0,,0,0,1160000,0.0,0.0,,,,,35040.0,407.89, Lituania_nan_-647948.0_1316.31@, Estonia_nan_360474.0_1975.21@ Russia europea e Ural (Russia)_696000.0_730.0_3.26@,Lettonia
20:00 20-09-2022,122,90,83,1460000,2960.0,,,,,,,164000,45114.0,172.27,,,,87000,23068.0,4.14,14000,,,1590000,995720.0,396.94,,0,0,,0,0,1160000,0.0,0.0,,,,,35040.0,407.89, Lituania_nan_-647948.0_1316.31@, Estonia_nan_360474.0_1975.21@ Russia europea e Ural (Russia)_696000.0_730.0_3.26@,Lettonia
20:10 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
20:20 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
20:30 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
20:40 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
20:50 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
21:00 20-09-2022,124,90,82,1490000,3080.0,,,,,,,164000,47084.0,180.18,,,,87000,29055.0,5.24,14000,,,1590000,995171.0,397.63,,0,0,,0,0,1160000,0.0,0.0,,,,,36058.0,420.42, Lituania_nan_-688827.0_1423.88@, Estonia_nan_374586.0_2029.1@ Russia europea e Ural (Russia)_696000.0_8046.0_47.43@,Lettonia
21:10 20-09-2022,132,89,80,1530000,3340.0,,,,,,,164000,46971.0,180.36,,,,87000,18054.0,3.34,14000,,,1590000,1001997.0,401.47,,0,0,,0,0,1160000,0.0,0.0,,,,,35955.0,420.17, Lituania_nan_-720018.0_1583.16@, Estonia_nan_414324.0_2269.86@ Russia europea e Ural (Russia)_696000.0_12852.0_64.8@,Lettonia
21:20 20-09-2022,132,89,80,1530000,3340.0,,,,,,,164000,46971.0,180.36,,,,87000,18054.0,3.34,14000,,,1590000,1001997.0,401.47,,0,0,,0,0,1160000,0.0,0.0,,,,,35955.0,420.17, Lituania_nan_-720018.0_1583.16@, Estonia_nan_414324.0_2269.86@ Russia europea e Ural (Russia)_696000.0_12852.0_64.8@,Lettonia
21:30 20-09-2022,132,89,80,1530000,3340.0,,,,,,,164000,46971.0,180.36,,,,87000,18054.0,3.34,14000,,,1590000,1001997.0,401.47,,0,0,,0,0,1160000,0.0,0.0,,,,,35955.0,420.17, Lituania_nan_-720018.0_1583.16@, Estonia_nan_414324.0_2269.86@ Russia europea e Ural (Russia)_696000.0_12852.0_64.8@,Lettonia
21:40 20-09-2022,132,89,80,1530000,3340.0,,,,,,,164000,46971.0,180.36,,,,87000,18054.0,3.34,14000,,,1590000,1001997.0,401.47,,0,0,,0,0,1160000,0.0,0.0,,,,,35955.0,420.17, Lituania_nan_-720018.0_1583.16@, Estonia_nan_414324.0_2269.86@ Russia europea e Ural (Russia)_696000.0_12852.0_64.8@,Lettonia
21:50 20-09-2022,132,89,80,1530000,3340.0,,,,,,,164000,46971.0,180.36,,,,87000,18054.0,3.34,14000,,,1590000,1001997.0,401.47,,0,0,,0,0,1160000,0.0,0.0,,,,,35955.0,420.17, Lituania_nan_-720018.0_1583.16@, Estonia_nan_414324.0_2269.86@ Russia europea e Ural (Russia)_696000.0_12852.0_64.8@,Lettonia
