timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,382,38,38,7670000,48800,0,0,0,0,0,0,663000,192517,741.76,2420000,1105247.0,15108.48,5500000,629707,117.12,4010000,1658254,1244.4,1010000,101244,39.04,0,0,0,,0,0,9140000,2951416,24102.32,66000,0,0.0,,269217,3137.84, Centrosud (Italia)_nan_-4641884.0_29533.76;, Grecia_500000.0_497016.0_2952.4; Sicilia (Italia)_nan_266149.0_1361.52;
19:10 20-04-2022,333,46,45,7310000,40600,0,0,0,0,0,0,663000,214183,820.12,2420000,871352.0,11912.04,5500000,1646212,300.44,4010000,961996,722.68,1010000,157165,64.96,0,0,0,,0,0,9140000,2481014,20263.46,66000,731,8.12,,214183,2500.96, Centrosud (Italia)_nan_-4642581.0_25789.12;, Grecia_500000.0_497080.0_2951.62; Sicilia (Italia)_nan_266084.0_1055.6;
19:20 20-04-2022,333,46,45,7310000,40600,0,0,0,0,0,0,663000,214183,820.12,2420000,871352.0,11912.04,5500000,1646212,300.44,4010000,961996,722.68,1010000,157165,64.96,0,0,0,,0,0,9140000,2481014,20263.46,66000,731,8.12,,214183,2500.96, Centrosud (Italia)_nan_-4642581.0_25789.12;, Grecia_500000.0_497080.0_2951.62; Sicilia (Italia)_nan_266084.0_1055.6;
19:30 20-04-2022,333,46,45,7310000,40600,0,0,0,0,0,0,663000,214183,820.12,2420000,871352.0,11912.04,5500000,1646212,300.44,4010000,961996,722.68,1010000,157165,64.96,0,0,0,,0,0,9140000,2481014,20263.46,66000,731,8.12,,214183,2500.96, Centrosud (Italia)_nan_-4642581.0_25789.12;, Grecia_500000.0_497080.0_2951.62; Sicilia (Italia)_nan_266084.0_1055.6;
19:40 20-04-2022,333,46,45,7310000,40600,0,0,0,0,0,0,663000,214183,820.12,2420000,871352.0,11912.04,5500000,1646212,300.44,4010000,961996,722.68,1010000,157165,64.96,0,0,0,,0,0,9140000,2481014,20263.46,66000,731,8.12,,214183,2500.96, Centrosud (Italia)_nan_-4642581.0_25789.12;, Grecia_500000.0_497080.0_2951.62; Sicilia (Italia)_nan_266084.0_1055.6;
19:50 20-04-2022,396,35,35,7270000,48000,0,0,0,0,0,0,663000,191928,734.4,2420000,1104313.0,15091.2,5500000,891302,163.2,4010000,1005441,753.6,1010000,247907,100.8,0,0,0,,0,0,9140000,3100655,25315.2,66000,0,0.0,,270444,3148.8, Centrosud (Italia)_nan_-4148989.0_27393.6;, Grecia_500000.0_420206.0_2496.0; Sicilia (Italia)_nan_37077.0_192.0;
20:00 20-04-2022,396,35,35,7270000,48000,0,0,0,0,0,0,663000,191928,734.4,2420000,1104313.0,15091.2,5500000,891302,163.2,4010000,1005441,753.6,1010000,247907,100.8,0,0,0,,0,0,9140000,3100655,25315.2,66000,0,0.0,,270444,3148.8, Centrosud (Italia)_nan_-4148989.0_27393.6;, Grecia_500000.0_420206.0_2496.0; Sicilia (Italia)_nan_37077.0_192.0;
20:10 20-04-2022,384,36,36,6820000,43700,0,0,0,0,0,0,663000,216194,830.3,2420000,936386.0,12812.84,5500000,1559734,284.05,4010000,293942,222.87,1010000,179366,69.92,0,0,0,,0,0,9140000,2940102,24035.0,66000,682,8.74,,236654,2766.21, Centrosud (Italia)_nan_-4147242.0_26573.97;, Grecia_500000.0_420112.0_2499.64; Sicilia (Italia)_nan_36828.0_170.43;
20:20 20-04-2022,384,36,36,6820000,43700,0,0,0,0,0,0,663000,216194,830.3,2420000,936386.0,12812.84,5500000,1559734,284.05,4010000,293942,222.87,1010000,179366,69.92,0,0,0,,0,0,9140000,2940102,24035.0,66000,682,8.74,,236654,2766.21, Centrosud (Italia)_nan_-4147242.0_26573.97;, Grecia_500000.0_420112.0_2499.64; Sicilia (Italia)_nan_36828.0_170.43;
20:30 20-04-2022,384,36,36,6820000,43700,0,0,0,0,0,0,663000,216194,830.3,2420000,936386.0,12812.84,5500000,1559734,284.05,4010000,293942,222.87,1010000,179366,69.92,0,0,0,,0,0,9140000,2940102,24035.0,66000,682,8.74,,236654,2766.21, Centrosud (Italia)_nan_-4147242.0_26573.97;, Grecia_500000.0_420112.0_2499.64; Sicilia (Italia)_nan_36828.0_170.43;
20:40 20-04-2022,384,36,36,6820000,43700,0,0,0,0,0,0,663000,216194,830.3,2420000,936386.0,12812.84,5500000,1559734,284.05,4010000,293942,222.87,1010000,179366,69.92,0,0,0,,0,0,9140000,2940102,24035.0,66000,682,8.74,,236654,2766.21, Centrosud (Italia)_nan_-4147242.0_26573.97;, Grecia_500000.0_420112.0_2499.64; Sicilia (Italia)_nan_36828.0_170.43;
