timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,541,11,11,46600.0,420,,0,0,,0,0,,0,0,,0,0,,1421.3,0.25,,0.0,0.0,,0,0,,0,0,,0,0,,11156.04,91.14,,29250.82,316.89,,0,0,, Maiorca (Spagna)_nan_1621.68_9.37@,Minorca (Spagna)
19:10 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
19:20 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
19:30 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
19:40 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
19:50 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
20:00 20-09-2022,549,9,9,46900.0,429,,0,0,,0,0,,0,0,,0,0,,1322.58,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,11326.35,92.45,,29532.93,319.73,,0,0,, Maiorca (Spagna)_nan_2349.69_14.8@,Minorca (Spagna)
20:10 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
20:20 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
20:30 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
20:40 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
20:50 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
21:00 20-09-2022,555,8,7,46500.0,430,,0,0,,0,0,,0,0,,0,0,,1450.8,0.26,,0.0,0.0,,0,0,,0,0,,0,0,,10927.5,89.14,,29025.3,314.07,,0,0,, Maiorca (Spagna)_nan_3882.75_25.59@,Minorca (Spagna)
21:10 20-09-2022,574,3,3,49700.0,477,,0,0,,0,0,,0,0,,0,0,,651.07,0.14,,0.0,0.0,,0,0,,0,0,,0,0,,15337.42,125.31,,29899.52,323.93,,0,0,, Maiorca (Spagna)_nan_3553.55_27.48@,Minorca (Spagna)
21:20 20-09-2022,574,3,3,49700.0,477,,0,0,,0,0,,0,0,,0,0,,651.07,0.14,,0.0,0.0,,0,0,,0,0,,0,0,,15337.42,125.31,,29899.52,323.93,,0,0,, Maiorca (Spagna)_nan_3553.55_27.48@,Minorca (Spagna)
