timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,162,73,71,11200000.0,30400.0,485000,133280,27.36,0,0,0,1340000,0,0,4010000,358400,4912.64,7800000,3918880,720.48,14300000,3750880,2824.16,38000,2240,0,0,0,0,,0,0,18500000,2367680,19413.44,0,45920,498.56,,15680,88.16, Germania_nan_-1023680.0_2778.56@ Danimarca occidentale (Danimarca)_700000.0_-697760.0_1893.92@ Sudovest (Norvegia)_700000.0_-404320.0_1097.44@, Belgio_nan_302400.0_598.88@ Gran Bretagna_1000000.0_305760.0_1319.36@,Paesi Bassi
19:10 20-04-2022,159,74,70,11600000.0,30800.0,485000,133400,27.72,0,0,0,1340000,0,0,4010000,359600,4906.44,7800000,3941680,720.72,14300000,3773480,2821.28,38000,2320,0,0,0,0,,0,0,18500000,2381480,19394.76,0,46400,495.88,,15080,86.24, Germania_nan_-1705200.0_4512.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_95.48@, Belgio_nan_593920.0_1241.24@ Gran Bretagna_1000000.0_258680.0_1022.56@ Sudovest (Norvegia)_700000.0_93960.0_80.08@,Paesi Bassi
19:20 20-04-2022,159,74,70,11600000.0,30800.0,485000,133400,27.72,0,0,0,1340000,0,0,4010000,359600,4906.44,7800000,3941680,720.72,14300000,3773480,2821.28,38000,2320,0,0,0,0,,0,0,18500000,2381480,19394.76,0,46400,495.88,,15080,86.24, Germania_nan_-1705200.0_4512.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_95.48@, Belgio_nan_593920.0_1241.24@ Gran Bretagna_1000000.0_258680.0_1022.56@ Sudovest (Norvegia)_700000.0_93960.0_80.08@,Paesi Bassi
19:30 20-04-2022,159,74,70,11600000.0,30800.0,485000,133400,27.72,0,0,0,1340000,0,0,4010000,359600,4906.44,7800000,3941680,720.72,14300000,3773480,2821.28,38000,2320,0,0,0,0,,0,0,18500000,2381480,19394.76,0,46400,495.88,,15080,86.24, Germania_nan_-1705200.0_4512.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_95.48@, Belgio_nan_593920.0_1241.24@ Gran Bretagna_1000000.0_258680.0_1022.56@ Sudovest (Norvegia)_700000.0_93960.0_80.08@,Paesi Bassi
19:40 20-04-2022,159,74,70,11600000.0,30800.0,485000,133400,27.72,0,0,0,1340000,0,0,4010000,359600,4906.44,7800000,3941680,720.72,14300000,3773480,2821.28,38000,2320,0,0,0,0,,0,0,18500000,2381480,19394.76,0,46400,495.88,,15080,86.24, Germania_nan_-1705200.0_4512.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_95.48@, Belgio_nan_593920.0_1241.24@ Gran Bretagna_1000000.0_258680.0_1022.56@ Sudovest (Norvegia)_700000.0_93960.0_80.08@,Paesi Bassi
19:50 20-04-2022,181,70,65,12400000.0,37400.0,485000,171120,33.66,0,0,0,1340000,0,0,4010000,461280,6283.2,7800000,4110600,751.74,14300000,3568720,2670.36,38000,2480,0,0,0,0,,0,0,18500000,3049160,24826.12,0,58280,635.8,,19840,112.2, Germania_nan_-1716160.0_5161.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_108.46@, Belgio_nan_605120.0_875.16@ Gran Bretagna_1000000.0_259160.0_1129.48@ Sudovest (Norvegia)_700000.0_94240.0_82.28@,Paesi Bassi
20:00 20-04-2022,181,70,65,12400000.0,37400.0,485000,171120,33.66,0,0,0,1340000,0,0,4010000,461280,6283.2,7800000,4110600,751.74,14300000,3568720,2670.36,38000,2480,0,0,0,0,,0,0,18500000,3049160,24826.12,0,58280,635.8,,19840,112.2, Germania_nan_-1716160.0_5161.2@ Danimarca occidentale (Danimarca)_700000.0_-35960.0_108.46@, Belgio_nan_605120.0_875.16@ Gran Bretagna_1000000.0_259160.0_1129.48@ Sudovest (Norvegia)_700000.0_94240.0_82.28@,Paesi Bassi
20:10 20-04-2022,181,70,67,12300000.0,37200.0,485000,169740,33.48,0,0,0,1340000,0,0,4010000,458790,6286.8,7800000,4086060,751.44,14300000,3547320,2670.96,38000,2460,0,0,0,0,,0,0,18500000,3030720,24842.16,0,59040,636.12,,19680,111.6, Germania_nan_-2334540.0_7060.56@ Danimarca occidentale (Danimarca)_700000.0_-60270.0_182.28@, Belgio_nan_265680.0_606.36@ Gran Bretagna_1000000.0_250920.0_1071.36@ Sudovest (Norvegia)_700000.0_412050.0_186.0@,Paesi Bassi
20:20 20-04-2022,181,70,67,12300000.0,37200.0,485000,169740,33.48,0,0,0,1340000,0,0,4010000,458790,6286.8,7800000,4086060,751.44,14300000,3547320,2670.96,38000,2460,0,0,0,0,,0,0,18500000,3030720,24842.16,0,59040,636.12,,19680,111.6, Germania_nan_-2334540.0_7060.56@ Danimarca occidentale (Danimarca)_700000.0_-60270.0_182.28@, Belgio_nan_265680.0_606.36@ Gran Bretagna_1000000.0_250920.0_1071.36@ Sudovest (Norvegia)_700000.0_412050.0_186.0@,Paesi Bassi
20:30 20-04-2022,181,70,67,12300000.0,37200.0,485000,169740,33.48,0,0,0,1340000,0,0,4010000,458790,6286.8,7800000,4086060,751.44,14300000,3547320,2670.96,38000,2460,0,0,0,0,,0,0,18500000,3030720,24842.16,0,59040,636.12,,19680,111.6, Germania_nan_-2334540.0_7060.56@ Danimarca occidentale (Danimarca)_700000.0_-60270.0_182.28@, Belgio_nan_265680.0_606.36@ Gran Bretagna_1000000.0_250920.0_1071.36@ Sudovest (Norvegia)_700000.0_412050.0_186.0@,Paesi Bassi
