timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:0020-04-2022,630,22,20,23400000,246000,0,0,0,0,0,0,1510000,191880,738.0,26900000,16431480,224893.2,7070000,2096640,393.6,6130000,882180,664.2,791000,229320,98.4,1590000,4680,49.2,0,0,0,3710000,957060,7822.8,393000,259740,2804.4,0,0,0,Cechia_nan_-781560.0_8216.4@Slovacchia_nan_-926640.0_9741.6@,Germania_nan_1319760.0_6248.4@Lituania_500000.0_484380.0_1279.2@Svezia_600000.0_351000.0_246.0@Ucraina_235000.0_191880.0_762.6@
19:1020-04-2022,563,31,29,23500000,220000,0,0,0,0,0,0,1510000,218550,836.0,26900000,14379650,196130.0,7070000,3438050,638.0,6130000,1466400,1100.0,791000,274950,110.0,1590000,171550,1826.0,0,0,0,3710000,932950,7612.0,393000,265550,2860.0,0,0,0,Cechia_nan_-784900.0_7348.0@Slovacchia_nan_-928250.0_8690.0@,Germania_nan_1325400.0_6600.0@Lituania_500000.0_484100.0_1298.0@Svezia_600000.0_352500.0_242.0@Ucraina_235000.0_192700.0_770.0@
19:2020-04-2022,563,31,29,23500000,220000,0,0,0,0,0,0,1510000,218550,836.0,26900000,14379650,196130.0,7070000,3438050,638.0,6130000,1466400,1100.0,791000,274950,110.0,1590000,171550,1826.0,0,0,0,3710000,932950,7612.0,393000,265550,2860.0,0,0,0,Cechia_nan_-784900.0_7348.0@Slovacchia_nan_-928250.0_8690.0@,Germania_nan_1325400.0_6600.0@Lituania_500000.0_484100.0_1298.0@Svezia_600000.0_352500.0_242.0@Ucraina_235000.0_192700.0_770.0@
19:3020-04-2022,563,31,29,23500000,220000,0,0,0,0,0,0,1510000,218550,836.0,26900000,14379650,196130.0,7070000,3438050,638.0,6130000,1466400,1100.0,791000,274950,110.0,1590000,171550,1826.0,0,0,0,3710000,932950,7612.0,393000,265550,2860.0,0,0,0,Cechia_nan_-784900.0_7348.0@Slovacchia_nan_-928250.0_8690.0@,Germania_nan_1325400.0_6600.0@Lituania_500000.0_484100.0_1298.0@Svezia_600000.0_352500.0_242.0@Ucraina_235000.0_192700.0_770.0@
19:4020-04-2022,563,31,29,23500000,220000,0,0,0,0,0,0,1510000,218550,836.0,26900000,14379650,196130.0,7070000,3438050,638.0,6130000,1466400,1100.0,791000,274950,110.0,1590000,171550,1826.0,0,0,0,3710000,932950,7612.0,393000,265550,2860.0,0,0,0,Cechia_nan_-784900.0_7348.0@Slovacchia_nan_-928250.0_8690.0@,Germania_nan_1325400.0_6600.0@Lituania_500000.0_484100.0_1298.0@Svezia_600000.0_352500.0_242.0@Ucraina_235000.0_192700.0_770.0@
19:5020-04-2022,648,19,18,23200000,250000,0,0,0,0,0,0,1510000,162400,625.0,26900000,16727200,228025.0,7070000,1907040,350.0,6130000,505760,375.0,791000,229680,100.0,1590000,13920,150.0,0,0,0,3710000,965120,7875.0,393000,271440,2950.0,0,0,0,Cechia_nan_-740080.0_7975.0@Slovacchia_nan_-930320.0_10025.0@,Germania_nan_1389680.0_7250.0@Lituania_500000.0_484880.0_1325.0@Svezia_600000.0_352640.0_250.0@Ucraina_235000.0_190240.0_750.0@
20:0020-04-2022,648,19,18,23200000,250000,0,0,0,0,0,0,1510000,162400,625.0,26900000,16727200,228025.0,7070000,1907040,350.0,6130000,505760,375.0,791000,229680,100.0,1590000,13920,150.0,0,0,0,3710000,965120,7875.0,393000,271440,2950.0,0,0,0,Cechia_nan_-740080.0_7975.0@Slovacchia_nan_-930320.0_10025.0@,Germania_nan_1389680.0_7250.0@Lituania_500000.0_484880.0_1325.0@Svezia_600000.0_352640.0_250.0@Ucraina_235000.0_190240.0_750.0@
20:1020-04-2022,592,28,26,23500000,232000,0,0,0,0,0,0,1510000,220900,858.4,26900000,14906050,203881.6,7070000,3233600,603.2,6130000,716750,533.6,791000,324300,139.2,1590000,439450,4709.6,0,0,0,3710000,975250,7980.8,393000,265550,2876.8,0,0,0,Cechia_nan_-737900.0_7284.8@Slovacchia_nan_-928250.0_9164.0@,Germania_nan_1388850.0_8004.0@Lituania_500000.0_484100.0_1461.6@Svezia_600000.0_352500.0_255.2@Ucraina_235000.0_190350.0_742.4@
20:2020-04-2022,592,28,26,23500000,232000,0,0,0,0,0,0,1510000,220900,858.4,26900000,14906050,203881.6,7070000,3233600,603.2,6130000,716750,533.6,791000,324300,139.2,1590000,439450,4709.6,0,0,0,3710000,975250,7980.8,393000,265550,2876.8,0,0,0,Cechia_nan_-737900.0_7284.8@Slovacchia_nan_-928250.0_9164.0@,Germania_nan_1388850.0_8004.0@Lituania_500000.0_484100.0_1461.6@Svezia_600000.0_352500.0_255.2@Ucraina_235000.0_190350.0_742.4@
20:3020-04-2022,592,28,26,23500000,232000,0,0,0,0,0,0,1510000,220900,858.4,26900000,14906050,203881.6,7070000,3233600,603.2,6130000,716750,533.6,791000,324300,139.2,1590000,439450,4709.6,0,0,0,3710000,975250,7980.8,393000,265550,2876.8,0,0,0,Cechia_nan_-737900.0_7284.8@Slovacchia_nan_-928250.0_9164.0@,Germania_nan_1388850.0_8004.0@Lituania_500000.0_484100.0_1461.6@Svezia_600000.0_352500.0_255.2@Ucraina_235000.0_190350.0_742.4@
20:4020-04-2022,592,28,26,23500000,232000,0,0,0,0,0,0,1510000,220900,858.4,26900000,14906050,203881.6,7070000,3233600,603.2,6130000,716750,533.6,791000,324300,139.2,1590000,439450,4709.6,0,0,0,3710000,975250,7980.8,393000,265550,2876.8,0,0,0,Cechia_nan_-737900.0_7284.8@Slovacchia_nan_-928250.0_9164.0@,Germania_nan_1388850.0_8004.0@Lituania_500000.0_484100.0_1461.6@Svezia_600000.0_352500.0_255.2@Ucraina_235000.0_190350.0_742.4@
20:5020-04-2022,662,19,17,23100000,255000,0,0,0,0,0,0,1510000,159390,612.0,26900000,16632000,227460.0,7070000,1658580,306.0,6130000,249480,178.5,791000,328020,127.5,1590000,482790,5151.0,0,0,0,3710000,990990,8109.0,393000,274890,2983.5,0,0,0,Cechia_nan_-817740.0_9027.0@Slovacchia_nan_-1023330.0_11296.5@,Germania_nan_1295910.0_7624.5@Lituania_500000.0_482790.0_1453.5@Svezia_600000.0_351120.0_255.0@Ucraina_235000.0_191730.0_765.0@
21:0020-04-2022,662,19,17,23100000,255000,0,0,0,0,0,0,1510000,159390,612.0,26900000,16632000,227460.0,7070000,1658580,306.0,6130000,249480,178.5,791000,328020,127.5,1590000,482790,5151.0,0,0,0,3710000,990990,8109.0,393000,274890,2983.5,0,0,0,Cechia_nan_-817740.0_9027.0@Slovacchia_nan_-1023330.0_11296.5@,Germania_nan_1295910.0_7624.5@Lituania_500000.0_482790.0_1453.5@Svezia_600000.0_351120.0_255.0@Ucraina_235000.0_191730.0_765.0@
21:1020-04-2022,614,26,24,23600000,242000,0,0,0,0,0,0,1510000,219480,847.0,26900000,15453280,211725.8,7070000,3108120,580.8,6130000,160480,121.0,791000,335120,145.2,1590000,715080,7647.2,0,0,0,3710000,1017160,8324.8,393000,266680,2879.8,0,0,0,Cechia_nan_-816560.0_8373.2@Slovacchia_nan_-1024240.0_10502.8@,Germania_nan_1295640.0_7163.2@Lituania_500000.0_483800.0_1548.8@Svezia_600000.0_351640.0_242.0@Ucraina_235000.0_191160.0_750.2@
21:2020-04-2022,614,26,24,23600000,242000,0,0,0,0,0,0,1510000,219480,847.0,26900000,15453280,211725.8,7070000,3108120,580.8,6130000,160480,121.0,791000,335120,145.2,1590000,715080,7647.2,0,0,0,3710000,1017160,8324.8,393000,266680,2879.8,0,0,0,Cechia_nan_-816560.0_8373.2@Slovacchia_nan_-1024240.0_10502.8@,Germania_nan_1295640.0_7163.2@Lituania_500000.0_483800.0_1548.8@Svezia_600000.0_351640.0_242.0@Ucraina_235000.0_191160.0_750.2@
21:3020-04-2022,614,26,24,23600000,242000,0,0,0,0,0,0,1510000,219480,847.0,26900000,15453280,211725.8,7070000,3108120,580.8,6130000,160480,121.0,791000,335120,145.2,1590000,715080,7647.2,0,0,0,3710000,1017160,8324.8,393000,266680,2879.8,0,0,0,Cechia_nan_-816560.0_8373.2@Slovacchia_nan_-1024240.0_10502.8@,Germania_nan_1295640.0_7163.2@Lituania_500000.0_483800.0_1548.8@Svezia_600000.0_351640.0_242.0@Ucraina_235000.0_191160.0_750.2@
