timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,71,92,87,7700000.0,9060,0,0,0,0,0,0,876000,413490,1582.78,0,0,0,5530000,3771460,690.37,1360000,0.0,0.0,4370000,87010,34.43,2830000,-1489180,,,0,0,4580000,344960,2815.85,0,0,0,,27720,326.16,, Spagna_nan_2062060.0_2865.68@,Portogallo
19:10 20-09-2022,84,90,85,7700000.0,10700,0,0,0,0,0,0,876000,413490,1579.32,0,0,0,5530000,3771460,689.08,1360000,0.0,0.0,4370000,87010,34.24,2830000,-1489180,,,0,0,4580000,344960,2810.89,0,0,0,,27720,326.35,, Spagna_nan_2062060.0_4516.47@,Portogallo
19:20 20-09-2022,84,90,85,7700000.0,10700,0,0,0,0,0,0,876000,413490,1579.32,0,0,0,5530000,3771460,689.08,1360000,0.0,0.0,4370000,87010,34.24,2830000,-1489180,,,0,0,4580000,344960,2810.89,0,0,0,,27720,326.35,, Spagna_nan_2062060.0_4516.47@,Portogallo
19:30 20-09-2022,84,90,85,7700000.0,10700,0,0,0,0,0,0,876000,413490,1579.32,0,0,0,5530000,3771460,689.08,1360000,0.0,0.0,4370000,87010,34.24,2830000,-1489180,,,0,0,4580000,344960,2810.89,0,0,0,,27720,326.35,, Spagna_nan_2062060.0_4516.47@,Portogallo
19:40 20-09-2022,84,90,85,7700000.0,10700,0,0,0,0,0,0,876000,413490,1579.32,0,0,0,5530000,3771460,689.08,1360000,0.0,0.0,4370000,87010,34.24,2830000,-1489180,,,0,0,4580000,344960,2810.89,0,0,0,,27720,326.35,, Spagna_nan_2062060.0_4516.47@,Portogallo
19:50 20-09-2022,72,92,86,7570000.0,9070,0,0,0,0,0,0,876000,416350,1594.51,0,0,0,5530000,3829663,702.02,1360000,0.0,0.0,4370000,84027,33.56,2830000,-1387581,,,0,0,4580000,359575,2932.33,0,0,0,,28009,326.52,, Spagna_nan_2028003.0_2863.4@,Portogallo
20:00 20-09-2022,72,92,86,7570000.0,9070,0,0,0,0,0,0,876000,416350,1594.51,0,0,0,5530000,3829663,702.02,1360000,0.0,0.0,4370000,84027,33.56,2830000,-1387581,,,0,0,4580000,359575,2932.33,0,0,0,,28009,326.52,, Spagna_nan_2028003.0_2863.4@,Portogallo
20:10 20-09-2022,88,89,83,7340000.0,10800,0,0,0,0,0,0,876000,416912,1602.72,0,0,0,5530000,3784504,695.52,1360000,0.0,0.0,4370000,105696,42.12,2830000,-1001910,,,0,0,4580000,364064,2980.8,0,0,0,,27892,327.24,, Spagna_nan_2025840.0_4688.28@,Portogallo
20:20 20-09-2022,88,89,83,7340000.0,10800,0,0,0,0,0,0,876000,416912,1602.72,0,0,0,5530000,3784504,695.52,1360000,0.0,0.0,4370000,105696,42.12,2830000,-1001910,,,0,0,4580000,364064,2980.8,0,0,0,,27892,327.24,, Spagna_nan_2025840.0_4688.28@,Portogallo
20:30 20-09-2022,88,89,83,7340000.0,10800,0,0,0,0,0,0,876000,416912,1602.72,0,0,0,5530000,3784504,695.52,1360000,0.0,0.0,4370000,105696,42.12,2830000,-1001910,,,0,0,4580000,364064,2980.8,0,0,0,,27892,327.24,, Spagna_nan_2025840.0_4688.28@,Portogallo
