timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,412,41,41,1530000,10500,0,0,0,0,0,0,114000,47124,180.6,966000,435744,5947.2,1090000,358938,66.15,974000,0.0,0.0,226000,37179,14.7,240000,-42381,,,0,0,996000,376227,3069.15,251000,21726,235.2,,73134,852.6, Centrosud (Italia)_1000000.0_-331857.0_2277.45@,,Sardegna (Italia)
19:10 20-09-2022,412,41,41,1530000,10500,0,0,0,0,0,0,114000,47124,180.6,966000,435744,5947.2,1090000,358938,66.15,974000,0.0,0.0,226000,37179,14.7,240000,-42381,,,0,0,996000,376227,3069.15,251000,21726,235.2,,73134,852.6, Centrosud (Italia)_1000000.0_-331857.0_2277.45@,,Sardegna (Italia)
19:20 20-09-2022,412,41,41,1530000,10500,0,0,0,0,0,0,114000,47124,180.6,966000,435744,5947.2,1090000,358938,66.15,974000,0.0,0.0,226000,37179,14.7,240000,-42381,,,0,0,996000,376227,3069.15,251000,21726,235.2,,73134,852.6, Centrosud (Italia)_1000000.0_-331857.0_2277.45@,,Sardegna (Italia)
19:30 20-09-2022,412,41,41,1530000,10500,0,0,0,0,0,0,114000,47124,180.6,966000,435744,5947.2,1090000,358938,66.15,974000,0.0,0.0,226000,37179,14.7,240000,-42381,,,0,0,996000,376227,3069.15,251000,21726,235.2,,73134,852.6, Centrosud (Italia)_1000000.0_-331857.0_2277.45@,,Sardegna (Italia)
19:40 20-09-2022,412,41,41,1530000,10500,0,0,0,0,0,0,114000,47124,180.6,966000,435744,5947.2,1090000,358938,66.15,974000,0.0,0.0,226000,37179,14.7,240000,-42381,,,0,0,996000,376227,3069.15,251000,21726,235.2,,73134,852.6, Centrosud (Italia)_1000000.0_-331857.0_2277.45@,,Sardegna (Italia)
19:50 20-09-2022,455,34,34,1340000,10100,0,0,0,0,0,0,114000,54136,206.04,966000,413926,5617.62,1090000,201402,36.36,974000,0.0,0.0,226000,60166,24.24,240000,-2010,,,0,0,996000,375870,3048.18,251000,21038,226.24,,72226,836.28, Centrosud (Italia)_1000000.0_-268536.0_2024.04@,,Sardegna (Italia)
20:00 20-09-2022,455,34,34,1340000,10100,0,0,0,0,0,0,114000,54136,206.04,966000,413926,5617.62,1090000,201402,36.36,974000,0.0,0.0,226000,60166,24.24,240000,-2010,,,0,0,996000,375870,3048.18,251000,21038,226.24,,72226,836.28, Centrosud (Italia)_1000000.0_-268536.0_2024.04@,,Sardegna (Italia)
20:10 20-09-2022,448,35,35,1410000,10500,0,0,0,0,0,0,114000,47235,180.6,966000,442740,6038.55,1090000,342066,63.0,974000,0.0,0.0,226000,38070,14.7,240000,-1974,,,0,0,996000,376188,3066.0,251000,21855,236.25,,73038,849.45, Centrosud (Italia)_1000000.0_-268464.0_1999.2@,,Sardegna (Italia)
20:20 20-09-2022,448,35,35,1410000,10500,0,0,0,0,0,0,114000,47235,180.6,966000,442740,6038.55,1090000,342066,63.0,974000,0.0,0.0,226000,38070,14.7,240000,-1974,,,0,0,996000,376188,3066.0,251000,21855,236.25,,73038,849.45, Centrosud (Italia)_1000000.0_-268464.0_1999.2@,,Sardegna (Italia)
20:30 20-09-2022,448,35,35,1410000,10500,0,0,0,0,0,0,114000,47235,180.6,966000,442740,6038.55,1090000,342066,63.0,974000,0.0,0.0,226000,38070,14.7,240000,-1974,,,0,0,996000,376188,3066.0,251000,21855,236.25,,73038,849.45, Centrosud (Italia)_1000000.0_-268464.0_1999.2@,,Sardegna (Italia)
