timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,254,67,39,2570000,10900.0,696000,691330,138.43,0,0,0,58000,19018,73.03,967000,475193,6495.31,3000,1028,0.0,289000,0.0,0.0,1120000,322278,128.62,180000,0,0.0,0,0,0,548000,42148,343.35,0,0,0,,,, Croazia_nan_-247234.0_1048.58@ Settentrione (Italia)_nan_-724483.0_3072.71@, Austria_nan_906953.0_3636.24@,Slovenia
19:10 20-09-2022,244,70,39,2240000,9150.0,696000,690144,138.16,0,0,0,58000,19040,73.2,967000,474432,6490.1,3000,896,0.0,289000,0.0,0.0,1120000,321664,129.01,180000,0,0.0,0,0,0,548000,41888,343.12,0,0,0,,,, Croazia_nan_-283584.0_1154.73@ Settentrione (Italia)_nan_-511392.0_2082.54@, Austria_nan_580160.0_1893.13@,Slovenia
19:20 20-09-2022,244,70,39,2240000,9150.0,696000,690144,138.16,0,0,0,58000,19040,73.2,967000,474432,6490.1,3000,896,0.0,289000,0.0,0.0,1120000,321664,129.01,180000,0,0.0,0,0,0,548000,41888,343.12,0,0,0,,,, Croazia_nan_-283584.0_1154.73@ Settentrione (Italia)_nan_-511392.0_2082.54@, Austria_nan_580160.0_1893.13@,Slovenia
19:30 20-09-2022,244,70,39,2240000,9150.0,696000,690144,138.16,0,0,0,58000,19040,73.2,967000,474432,6490.1,3000,896,0.0,289000,0.0,0.0,1120000,321664,129.01,180000,0,0.0,0,0,0,548000,41888,343.12,0,0,0,,,, Croazia_nan_-283584.0_1154.73@ Settentrione (Italia)_nan_-511392.0_2082.54@, Austria_nan_580160.0_1893.13@,Slovenia
19:40 20-09-2022,244,70,39,2240000,9150.0,696000,690144,138.16,0,0,0,58000,19040,73.2,967000,474432,6490.1,3000,896,0.0,289000,0.0,0.0,1120000,321664,129.01,180000,0,0.0,0,0,0,548000,41888,343.12,0,0,0,,,, Croazia_nan_-283584.0_1154.73@ Settentrione (Italia)_nan_-511392.0_2082.54@, Austria_nan_580160.0_1893.13@,Slovenia
19:50 20-09-2022,239,70,43,2700000,10700.0,696000,691200,138.03,0,0,0,58000,18090,68.48,967000,487080,6637.21,3000,0,0.0,289000,0.0,0.0,1120000,600210,239.68,180000,0,0.0,0,0,0,548000,45900,374.5,0,0,0,,,, Croazia_nan_-390150.0_1546.15@ Settentrione (Italia)_nan_-674190.0_2671.79@, Austria_nan_781380.0_3186.46@,Slovenia
20:00 20-09-2022,239,70,43,2700000,10700.0,696000,691200,138.03,0,0,0,58000,18090,68.48,967000,487080,6637.21,3000,0,0.0,289000,0.0,0.0,1120000,600210,239.68,180000,0,0.0,0,0,0,548000,45900,374.5,0,0,0,,,, Croazia_nan_-390150.0_1546.15@ Settentrione (Italia)_nan_-674190.0_2671.79@, Austria_nan_781380.0_3186.46@,Slovenia
20:10 20-09-2022,236,71,44,2550000,10000.0,696000,691050,138.0,0,0,0,58000,18105,69.0,967000,487050,6650.0,3000,0,0.0,289000,0.0,0.0,1120000,600015,240.0,180000,0,0.0,0,0,0,548000,45900,375.0,0,0,0,,,, Croazia_nan_-308040.0_1208.0@ Settentrione (Italia)_nan_-607155.0_2380.0@, Austria_nan_631890.0_2471.0@,Slovenia
20:20 20-09-2022,236,71,44,2550000,10000.0,696000,691050,138.0,0,0,0,58000,18105,69.0,967000,487050,6650.0,3000,0,0.0,289000,0.0,0.0,1120000,600015,240.0,180000,0,0.0,0,0,0,548000,45900,375.0,0,0,0,,,, Croazia_nan_-308040.0_1208.0@ Settentrione (Italia)_nan_-607155.0_2380.0@, Austria_nan_631890.0_2471.0@,Slovenia
20:30 20-09-2022,236,71,44,2550000,10000.0,696000,691050,138.0,0,0,0,58000,18105,69.0,967000,487050,6650.0,3000,0,0.0,289000,0.0,0.0,1120000,600015,240.0,180000,0,0.0,0,0,0,548000,45900,375.0,0,0,0,,,, Croazia_nan_-308040.0_1208.0@ Settentrione (Italia)_nan_-607155.0_2380.0@, Austria_nan_631890.0_2471.0@,Slovenia
20:40 20-09-2022,236,71,44,2550000,10000.0,696000,691050,138.0,0,0,0,58000,18105,69.0,967000,487050,6650.0,3000,0,0.0,289000,0.0,0.0,1120000,600015,240.0,180000,0,0.0,0,0,0,548000,45900,375.0,0,0,0,,,, Croazia_nan_-308040.0_1208.0@ Settentrione (Italia)_nan_-607155.0_2380.0@, Austria_nan_631890.0_2471.0@,Slovenia
20:50 20-09-2022,235,73,48,2890000,11400.0,696000,690132,139.08,0,0,0,58000,17918,69.54,967000,487254,6694.08,3000,0,0.0,289000,0.0,0.0,1120000,617015,248.52,180000,158661,606.48,0,0,0,548000,52020,426.36,0,0,0,,,, Croazia_nan_-413559.0_1631.34@ Settentrione (Italia)_nan_-791860.0_3123.6@, Austria_nan_834921.0_3194.28@,Slovenia
21:00 20-09-2022,235,73,48,2890000,11400.0,696000,690132,139.08,0,0,0,58000,17918,69.54,967000,487254,6694.08,3000,0,0.0,289000,0.0,0.0,1120000,617015,248.52,180000,158661,606.48,0,0,0,548000,52020,426.36,0,0,0,,,, Croazia_nan_-413559.0_1631.34@ Settentrione (Italia)_nan_-791860.0_3123.6@, Austria_nan_834921.0_3194.28@,Slovenia
21:10 20-09-2022,232,74,47,2640000,10200.0,696000,691152,137.7,0,0,0,58000,17952,68.34,967000,488136,6653.46,3000,0,0.0,289000,0.0,0.0,1120000,618288,246.84,180000,158928,601.8,0,0,0,548000,52008,423.3,0,0,0,,,, Croazia_nan_-337128.0_1301.52@ Settentrione (Italia)_nan_-486024.0_1876.8@, Austria_nan_581328.0_2043.06@,Slovenia
21:20 20-09-2022,232,74,47,2640000,10200.0,696000,691152,137.7,0,0,0,58000,17952,68.34,967000,488136,6653.46,3000,0,0.0,289000,0.0,0.0,1120000,618288,246.84,180000,158928,601.8,0,0,0,548000,52008,423.3,0,0,0,,,, Croazia_nan_-337128.0_1301.52@ Settentrione (Italia)_nan_-486024.0_1876.8@, Austria_nan_581328.0_2043.06@,Slovenia
21:30 20-09-2022,232,74,47,2640000,10200.0,696000,691152,137.7,0,0,0,58000,17952,68.34,967000,488136,6653.46,3000,0,0.0,289000,0.0,0.0,1120000,618288,246.84,180000,158928,601.8,0,0,0,548000,52008,423.3,0,0,0,,,, Croazia_nan_-337128.0_1301.52@ Settentrione (Italia)_nan_-486024.0_1876.8@, Austria_nan_581328.0_2043.06@,Slovenia
21:40 20-09-2022,232,74,47,2640000,10200.0,696000,691152,137.7,0,0,0,58000,17952,68.34,967000,488136,6653.46,3000,0,0.0,289000,0.0,0.0,1120000,618288,246.84,180000,158928,601.8,0,0,0,548000,52008,423.3,0,0,0,,,, Croazia_nan_-337128.0_1301.52@ Settentrione (Italia)_nan_-486024.0_1876.8@, Austria_nan_581328.0_2043.06@,Slovenia
21:50 20-09-2022,227,75,50,2910000,11000.0,696000,691707,138.6,0,0,0,58000,16878,64.9,967000,489462,6686.9,3000,0,0.0,289000,0.0,0.0,1120000,713823,284.9,180000,165288,627.0,0,0,0,548000,50052,408.1,0,0,0,,,, Croazia_nan_-453378.0_1713.8@ Settentrione (Italia)_nan_-644565.0_2436.5@, Austria_nan_780753.0_2787.4@,Slovenia
22:00 20-09-2022,227,75,50,2910000,11000.0,696000,691707,138.6,0,0,0,58000,16878,64.9,967000,489462,6686.9,3000,0,0.0,289000,0.0,0.0,1120000,713823,284.9,180000,165288,627.0,0,0,0,548000,50052,408.1,0,0,0,,,, Croazia_nan_-453378.0_1713.8@ Settentrione (Italia)_nan_-644565.0_2436.5@, Austria_nan_780753.0_2787.4@,Slovenia
22:10 20-09-2022,227,75,49,2740000,10400.0,696000,690480,138.32,0,0,0,58000,16988,65.52,967000,488816,6711.12,3000,0,0.0,289000,0.0,0.0,1120000,712674,286.0,180000,164948,629.2,0,0,0,548000,49868,409.76,0,0,0,,,, Croazia_nan_-386888.0_1467.44@ Settentrione (Italia)_nan_-334828.0_1269.84@, Austria_nan_614308.0_2156.96@,Slovenia
22:20 20-09-2022,227,75,49,2740000,10400.0,696000,690480,138.32,0,0,0,58000,16988,65.52,967000,488816,6711.12,3000,0,0.0,289000,0.0,0.0,1120000,712674,286.0,180000,164948,629.2,0,0,0,548000,49868,409.76,0,0,0,,,, Croazia_nan_-386888.0_1467.44@ Settentrione (Italia)_nan_-334828.0_1269.84@, Austria_nan_614308.0_2156.96@,Slovenia
22:30 20-09-2022,227,75,49,2740000,10400.0,696000,690480,138.32,0,0,0,58000,16988,65.52,967000,488816,6711.12,3000,0,0.0,289000,0.0,0.0,1120000,712674,286.0,180000,164948,629.2,0,0,0,548000,49868,409.76,0,0,0,,,, Croazia_nan_-386888.0_1467.44@ Settentrione (Italia)_nan_-334828.0_1269.84@, Austria_nan_614308.0_2156.96@,Slovenia
22:40 20-09-2022,227,75,49,2740000,10400.0,696000,690480,138.32,0,0,0,58000,16988,65.52,967000,488816,6711.12,3000,0,0.0,289000,0.0,0.0,1120000,712674,286.0,180000,164948,629.2,0,0,0,548000,49868,409.76,0,0,0,,,, Croazia_nan_-386888.0_1467.44@ Settentrione (Italia)_nan_-334828.0_1269.84@, Austria_nan_614308.0_2156.96@,Slovenia
