timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:0020-04-2022,83,89,69,34800000,48500.0,7120000,6928680,1387.1,0,0,0,1490000,769080,2958.5,3760000,776040,10626.35,27600000,16752720,3074.9,16700000,4496160,3375.6,17100000,1952280,780.85,5650000,-1872240,,,0,0,30200000,2902320,23731.05,678000,83520,887.55,402000,142680,1668.4,Maiorca(Spagna)_400000.0_-100920.0_140.65@Francia_2800000.0_-1701720.0_2371.65@Marocco_1360000.0_-184440.0_257.05@Portogallo_nan_-2060160.0_2871.2@,
19:1020-04-2022,132,81,61,32400000,71300.0,7120000,6447600,1290.53,0,0,0,1490000,822960,3165.72,3760000,1127520,15457.84,27600000,8890560,1632.77,16700000,8015760,6024.85,17100000,1956960,784.3,5650000,-1386720,,,0,0,30200000,4834080,39550.11,678000,158760,1725.46,402000,142560,1668.42,Maiorca(Spagna)_400000.0_-103680.0_228.16@Francia_2800000.0_-1701000.0_3743.25@Marocco_1360000.0_-184680.0_406.41@Portogallo_nan_-2057400.0_4527.55@,
19:2020-04-2022,132,81,61,32400000,71300.0,7120000,6447600,1290.53,0,0,0,1490000,822960,3165.72,3760000,1127520,15457.84,27600000,8890560,1632.77,16700000,8015760,6024.85,17100000,1956960,784.3,5650000,-1386720,,,0,0,30200000,4834080,39550.11,678000,158760,1725.46,402000,142560,1668.42,Maiorca(Spagna)_400000.0_-103680.0_228.16@Francia_2800000.0_-1701000.0_3743.25@Marocco_1360000.0_-184680.0_406.41@Portogallo_nan_-2057400.0_4527.55@,
19:3020-04-2022,132,81,61,32400000,71300.0,7120000,6447600,1290.53,0,0,0,1490000,822960,3165.72,3760000,1127520,15457.84,27600000,8890560,1632.77,16700000,8015760,6024.85,17100000,1956960,784.3,5650000,-1386720,,,0,0,30200000,4834080,39550.11,678000,158760,1725.46,402000,142560,1668.42,Maiorca(Spagna)_400000.0_-103680.0_228.16@Francia_2800000.0_-1701000.0_3743.25@Marocco_1360000.0_-184680.0_406.41@Portogallo_nan_-2057400.0_4527.55@,
19:4020-04-2022,132,81,61,32400000,71300.0,7120000,6447600,1290.53,0,0,0,1490000,822960,3165.72,3760000,1127520,15457.84,27600000,8890560,1632.77,16700000,8015760,6024.85,17100000,1956960,784.3,5650000,-1386720,,,0,0,30200000,4834080,39550.11,678000,158760,1725.46,402000,142560,1668.42,Maiorca(Spagna)_400000.0_-103680.0_228.16@Francia_2800000.0_-1701000.0_3743.25@Marocco_1360000.0_-184680.0_406.41@Portogallo_nan_-2057400.0_4527.55@,
19:5020-04-2022,85,88,68,34300000,48500.0,7120000,6928600,1387.1,0,0,0,1490000,778610,2992.45,3760000,771750,10573.0,27600000,16608060,3045.8,16700000,4057690,3045.8,17100000,1979110,790.55,5650000,-1763020,,,0,0,30200000,2956660,24162.7,678000,82320,902.1,402000,137200,1600.5,Maiorca(Spagna)_400000.0_-102900.0_145.5@Francia_2800000.0_-1584660.0_2240.7@Marocco_1360000.0_-222950.0_315.25@Portogallo_nan_-2027130.0_2866.35@,
20:0020-04-2022,85,88,68,34300000,48500.0,7120000,6928600,1387.1,0,0,0,1490000,778610,2992.45,3760000,771750,10573.0,27600000,16608060,3045.8,16700000,4057690,3045.8,17100000,1979110,790.55,5650000,-1763020,,,0,0,30200000,2956660,24162.7,678000,82320,902.1,402000,137200,1600.5,Maiorca(Spagna)_400000.0_-102900.0_145.5@Francia_2800000.0_-1584660.0_2240.7@Marocco_1360000.0_-222950.0_315.25@Portogallo_nan_-2027130.0_2866.35@,
20:1020-04-2022,138,79,59,31800000,73300.0,7120000,6458580,1290.08,0,0,0,1490000,829980,3181.22,3760000,1170240,15979.4,27600000,9040740,1656.58,16700000,6423600,4815.81,17100000,2426340,967.56,5650000,-1116180,,,0,0,30200000,5145240,41978.91,678000,162180,1759.2,402000,143100,1671.24,Maiorca(Spagna)_400000.0_-101760.0_234.56@Francia_2800000.0_-1586820.0_3657.67@Marocco_1360000.0_-225780.0_520.43@Portogallo_nan_-2028840.0_4676.54@,
20:2020-04-2022,138,79,59,31800000,73300.0,7120000,6458580,1290.08,0,0,0,1490000,829980,3181.22,3760000,1170240,15979.4,27600000,9040740,1656.58,16700000,6423600,4815.81,17100000,2426340,967.56,5650000,-1116180,,,0,0,30200000,5145240,41978.91,678000,162180,1759.2,402000,143100,1671.24,Maiorca(Spagna)_400000.0_-101760.0_234.56@Francia_2800000.0_-1586820.0_3657.67@Marocco_1360000.0_-225780.0_520.43@Portogallo_nan_-2028840.0_4676.54@,
20:3020-04-2022,138,79,59,31800000,73300.0,7120000,6458580,1290.08,0,0,0,1490000,829980,3181.22,3760000,1170240,15979.4,27600000,9040740,1656.58,16700000,6423600,4815.81,17100000,2426340,967.56,5650000,-1116180,,,0,0,30200000,5145240,41978.91,678000,162180,1759.2,402000,143100,1671.24,Maiorca(Spagna)_400000.0_-101760.0_234.56@Francia_2800000.0_-1586820.0_3657.67@Marocco_1360000.0_-225780.0_520.43@Portogallo_nan_-2028840.0_4676.54@,
