timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,43,91,60,17900000,12900,6870000,5513200,1102.95,0,0,0,5020000,,,0,0,0,12200000,1619950,296.7,1590000,,,16300000,8758470,3504.93,,0,0,,0,0,698000,,,2250000,,,,1670070,7807.08, Isole Åland_80000.0_-26850.0_19.35@ Germania_615000.0_-248810.0_179.31@ Danimarca occidentale (Danimarca)_715000.0_-683780.0_492.78@ Danimarca orientale (Danimarca)_1300000.0_-71600.0_51.6@ F_2700000.0_-1138440.0_819.15@ Lituania_700000.0_-406330.0_292.83@ Sudest (Norvegia)_2100000.0_-764330.0_550.83@ Polonia_600000.0_-350840.0_252.84@, Bornholm (Danimarca)_60000.0_21480.0_23.22@ Centro (Norvegia)_600000.0_209430.0_103.2@ Nord (Norvegia)_950000.0_107400.0_60.63@,Svezia
19:10 20-04-2022,42,91,61,18300000,12900,6870000,5522940,1099.08,0,0,0,5020000,,,0,0,0,12200000,1665300,304.44,1590000,,,16300000,9047520,3602.97,,0,0,,0,0,698000,,,2250000,,,,1654320,7690.98, Isole Åland_80000.0_-25620.0_18.06@ Germania_615000.0_-250710.0_176.73@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_504.39@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_207.69@ F_2700000.0_-1207800.0_851.4@ Lituania_700000.0_-404430.0_285.09@ Sudest (Norvegia)_2100000.0_-766770.0_540.51@ Polonia_600000.0_-353190.0_248.97@, Bornholm (Danimarca)_60000.0_14640.0_16.77@ Centro (Norvegia)_600000.0_289140.0_129.0@ Nord (Norvegia)_950000.0_107970.0_55.47@,Svezia
19:20 20-04-2022,42,91,61,18300000,12900,6870000,5522940,1099.08,0,0,0,5020000,,,0,0,0,12200000,1665300,304.44,1590000,,,16300000,9047520,3602.97,,0,0,,0,0,698000,,,2250000,,,,1654320,7690.98, Isole Åland_80000.0_-25620.0_18.06@ Germania_615000.0_-250710.0_176.73@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_504.39@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_207.69@ F_2700000.0_-1207800.0_851.4@ Lituania_700000.0_-404430.0_285.09@ Sudest (Norvegia)_2100000.0_-766770.0_540.51@ Polonia_600000.0_-353190.0_248.97@, Bornholm (Danimarca)_60000.0_14640.0_16.77@ Centro (Norvegia)_600000.0_289140.0_129.0@ Nord (Norvegia)_950000.0_107970.0_55.47@,Svezia
19:30 20-04-2022,42,91,61,18300000,12900,6870000,5522940,1099.08,0,0,0,5020000,,,0,0,0,12200000,1665300,304.44,1590000,,,16300000,9047520,3602.97,,0,0,,0,0,698000,,,2250000,,,,1654320,7690.98, Isole Åland_80000.0_-25620.0_18.06@ Germania_615000.0_-250710.0_176.73@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_504.39@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_207.69@ F_2700000.0_-1207800.0_851.4@ Lituania_700000.0_-404430.0_285.09@ Sudest (Norvegia)_2100000.0_-766770.0_540.51@ Polonia_600000.0_-353190.0_248.97@, Bornholm (Danimarca)_60000.0_14640.0_16.77@ Centro (Norvegia)_600000.0_289140.0_129.0@ Nord (Norvegia)_950000.0_107970.0_55.47@,Svezia
19:40 20-04-2022,42,91,61,18300000,12900,6870000,5522940,1099.08,0,0,0,5020000,,,0,0,0,12200000,1665300,304.44,1590000,,,16300000,9047520,3602.97,,0,0,,0,0,698000,,,2250000,,,,1654320,7690.98, Isole Åland_80000.0_-25620.0_18.06@ Germania_615000.0_-250710.0_176.73@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_504.39@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_207.69@ F_2700000.0_-1207800.0_851.4@ Lituania_700000.0_-404430.0_285.09@ Sudest (Norvegia)_2100000.0_-766770.0_540.51@ Polonia_600000.0_-353190.0_248.97@, Bornholm (Danimarca)_60000.0_14640.0_16.77@ Centro (Norvegia)_600000.0_289140.0_129.0@ Nord (Norvegia)_950000.0_107970.0_55.47@,Svezia
19:50 20-04-2022,43,91,61,18300000,13000,6870000,5517450,1106.3,0,0,0,5020000,,,0,0,0,12200000,1663470,305.5,1590000,,,16300000,9042030,3625.7,,0,0,,0,0,698000,,,2250000,,,,1652490,7737.6, Isole Åland_80000.0_-25620.0_18.2@ Germania_615000.0_-250710.0_178.1@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_508.3@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_209.3@ F_2700000.0_-1205970.0_856.7@ Lituania_700000.0_-404430.0_287.3@ Sudest (Norvegia)_2100000.0_-512400.0_364.0@ Polonia_600000.0_-351360.0_249.6@, Bornholm (Danimarca)_60000.0_14640.0_16.9@ Centro (Norvegia)_600000.0_289140.0_137.8@ Nord (Norvegia)_950000.0_120780.0_70.2@,Svezia
20:00 20-04-2022,43,91,61,18300000,13000,6870000,5517450,1106.3,0,0,0,5020000,,,0,0,0,12200000,1663470,305.5,1590000,,,16300000,9042030,3625.7,,0,0,,0,0,698000,,,2250000,,,,1652490,7737.6, Isole Åland_80000.0_-25620.0_18.2@ Germania_615000.0_-250710.0_178.1@ Danimarca occidentale (Danimarca)_715000.0_-715530.0_508.3@ Danimarca orientale (Danimarca)_1300000.0_-294630.0_209.3@ F_2700000.0_-1205970.0_856.7@ Lituania_700000.0_-404430.0_287.3@ Sudest (Norvegia)_2100000.0_-512400.0_364.0@ Polonia_600000.0_-351360.0_249.6@, Bornholm (Danimarca)_60000.0_14640.0_16.9@ Centro (Norvegia)_600000.0_289140.0_137.8@ Nord (Norvegia)_950000.0_120780.0_70.2@,Svezia
20:10 20-04-2022,42,91,61,18500000,12900,6870000,5531500,1102.95,0,0,0,5020000,,,0,0,0,12200000,1788950,326.37,1590000,,,16300000,9070550,3617.16,,0,0,,0,0,698000,,,2250000,,,,1637250,7627.77, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-715950.0_499.23@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1245050.0_868.17@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-512450.0_357.33@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_152.22@ Nord (Norvegia)_950000.0_122100.0_63.21@,Svezia
20:20 20-04-2022,42,91,61,18500000,12900,6870000,5531500,1102.95,0,0,0,5020000,,,0,0,0,12200000,1788950,326.37,1590000,,,16300000,9070550,3617.16,,0,0,,0,0,698000,,,2250000,,,,1637250,7627.77, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-715950.0_499.23@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1245050.0_868.17@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-512450.0_357.33@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_152.22@ Nord (Norvegia)_950000.0_122100.0_63.21@,Svezia
20:30 20-04-2022,42,91,61,18500000,12900,6870000,5531500,1102.95,0,0,0,5020000,,,0,0,0,12200000,1788950,326.37,1590000,,,16300000,9070550,3617.16,,0,0,,0,0,698000,,,2250000,,,,1637250,7627.77, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-715950.0_499.23@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1245050.0_868.17@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-512450.0_357.33@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_152.22@ Nord (Norvegia)_950000.0_122100.0_63.21@,Svezia
20:40 20-04-2022,42,91,61,18500000,12900,6870000,5531500,1102.95,0,0,0,5020000,,,0,0,0,12200000,1788950,326.37,1590000,,,16300000,9070550,3617.16,,0,0,,0,0,698000,,,2250000,,,,1637250,7627.77, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-715950.0_499.23@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1245050.0_868.17@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-512450.0_357.33@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_152.22@ Nord (Norvegia)_950000.0_122100.0_63.21@,Svezia
20:50 20-04-2022,42,91,61,18500000,12900,6870000,5525950,1101.66,0,0,0,5020000,,,0,0,0,12200000,1787100,326.37,1590000,,,16300000,9063150,3612.0,,0,0,,0,0,698000,,,2250000,,,,1635400,7614.87, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-714100.0_497.94@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1243200.0_866.88@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-632700.0_441.18@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_157.38@ Nord (Norvegia)_950000.0_138750.0_78.69@,Svezia
21:00 20-04-2022,42,91,61,18500000,12900,6870000,5525950,1101.66,0,0,0,5020000,,,0,0,0,12200000,1787100,326.37,1590000,,,16300000,9063150,3612.0,,0,0,,0,0,698000,,,2250000,,,,1635400,7614.87, Isole Åland_80000.0_-20350.0_14.19@ Germania_615000.0_-249750.0_174.15@ Danimarca occidentale (Danimarca)_715000.0_-714100.0_497.94@ Danimarca orientale (Danimarca)_1300000.0_-344100.0_239.94@ F_2700000.0_-1243200.0_866.88@ Lituania_700000.0_-412550.0_287.67@ Sudest (Norvegia)_2100000.0_-632700.0_441.18@ Polonia_600000.0_-351500.0_245.1@, Bornholm (Danimarca)_60000.0_7400.0_10.32@ Centro (Norvegia)_600000.0_342250.0_157.38@ Nord (Norvegia)_950000.0_138750.0_78.69@,Svezia
21:10 20-04-2022,42,91,62,18600000,12900,6870000,5511180,1104.24,0,0,0,5020000,,,0,0,0,12200000,1964160,359.91,1590000,,,16300000,9007980,3606.84,,0,0,,0,0,698000,,,2250000,,,,1623780,7595.52, Isole Åland_80000.0_-16740.0_11.61@ Germania_615000.0_-249240.0_172.86@ Danimarca occidentale (Danimarca)_715000.0_-712380.0_494.07@ Danimarca orientale (Danimarca)_1300000.0_-338520.0_234.78@ F_2700000.0_-1130880.0_784.32@ Lituania_700000.0_-405480.0_281.22@ Sudest (Norvegia)_2100000.0_-632400.0_438.6@ Polonia_600000.0_-351540.0_243.81@, Bornholm (Danimarca)_60000.0_3720.0_5.16@ Centro (Norvegia)_600000.0_351540.0_157.38@ Nord (Norvegia)_950000.0_137640.0_70.95@,Svezia
