timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,229.0,67.0,26.0,6150000,23400,1910000,1939710,386.1,3000,0,0,300000,163590,624.78,1050000,313035,4265.82,323000,8610.0,2.34,1830000,0.0,0.0,58000,14760,7.02,0,0,0,,0,0,4010000,836400,6811.74,420000,0.0,0.0,69000,87330,1017.9, Croazia_nan_-647595.0_2464.02@ Romania_nan_-283515.0_1078.74@ Serbia_1050000.0_-156825.0_596.7@, Austria_nan_942180.0_3058.38@ Slovacchia_nan_1174035.0_6023.16@ Ucraina_650000.0_218940.0_868.14@,Ungheria
19:10 20-09-2022,229.0,67.0,26.0,6150000,23400,1910000,1939710,386.1,3000,0,0,300000,163590,624.78,1050000,313035,4265.82,323000,8610.0,2.34,1830000,0.0,0.0,58000,14760,7.02,0,0,0,,0,0,4010000,836400,6811.74,420000,0.0,0.0,69000,87330,1017.9, Croazia_nan_-647595.0_2464.02@ Romania_nan_-283515.0_1078.74@ Serbia_1050000.0_-156825.0_596.7@, Austria_nan_942180.0_3058.38@ Slovacchia_nan_1174035.0_6023.16@ Ucraina_650000.0_218940.0_868.14@,Ungheria
19:20 20-09-2022,229.0,67.0,26.0,6150000,23400,1910000,1939710,386.1,3000,0,0,300000,163590,624.78,1050000,313035,4265.82,323000,8610.0,2.34,1830000,0.0,0.0,58000,14760,7.02,0,0,0,,0,0,4010000,836400,6811.74,420000,0.0,0.0,69000,87330,1017.9, Croazia_nan_-647595.0_2464.02@ Romania_nan_-283515.0_1078.74@ Serbia_1050000.0_-156825.0_596.7@, Austria_nan_942180.0_3058.38@ Slovacchia_nan_1174035.0_6023.16@ Ucraina_650000.0_218940.0_868.14@,Ungheria
19:30 20-09-2022,229.0,67.0,26.0,6150000,23400,1910000,1939710,386.1,3000,0,0,300000,163590,624.78,1050000,313035,4265.82,323000,8610.0,2.34,1830000,0.0,0.0,58000,14760,7.02,0,0,0,,0,0,4010000,836400,6811.74,420000,0.0,0.0,69000,87330,1017.9, Croazia_nan_-647595.0_2464.02@ Romania_nan_-283515.0_1078.74@ Serbia_1050000.0_-156825.0_596.7@, Austria_nan_942180.0_3058.38@ Slovacchia_nan_1174035.0_6023.16@ Ucraina_650000.0_218940.0_868.14@,Ungheria
19:40 20-09-2022,229.0,67.0,26.0,6150000,23400,1910000,1939710,386.1,3000,0,0,300000,163590,624.78,1050000,313035,4265.82,323000,8610.0,2.34,1830000,0.0,0.0,58000,14760,7.02,0,0,0,,0,0,4010000,836400,6811.74,420000,0.0,0.0,69000,87330,1017.9, Croazia_nan_-647595.0_2464.02@ Romania_nan_-283515.0_1078.74@ Serbia_1050000.0_-156825.0_596.7@, Austria_nan_942180.0_3058.38@ Slovacchia_nan_1174035.0_6023.16@ Ucraina_650000.0_218940.0_868.14@,Ungheria
19:50 20-09-2022,242.0,65.0,24.0,6130000,24700,1910000,1937080,387.79,3000,0,0,300000,163671,627.38,1050000,312017,4270.63,323000,8582.0,2.47,1830000,0.0,0.0,58000,14712,4.94,0,0,0,,0,0,4010000,850231,6948.11,420000,0.0,0.0,69000,85207,995.41, Croazia_nan_-470784.0_1896.96@ Romania_nan_-281980.0_1136.2@ Serbia_1050000.0_-95015.0_382.85@, Austria_nan_940342.0_3853.2@ Slovacchia_nan_1181864.0_6491.16@ Ucraina_650000.0_199838.0_795.34@,Ungheria
20:00 20-09-2022,242.0,65.0,24.0,6130000,24700,1910000,1937080,387.79,3000,0,0,300000,163671,627.38,1050000,312017,4270.63,323000,8582.0,2.47,1830000,0.0,0.0,58000,14712,4.94,0,0,0,,0,0,4010000,850231,6948.11,420000,0.0,0.0,69000,85207,995.41, Croazia_nan_-470784.0_1896.96@ Romania_nan_-281980.0_1136.2@ Serbia_1050000.0_-95015.0_382.85@, Austria_nan_940342.0_3853.2@ Slovacchia_nan_1181864.0_6491.16@ Ucraina_650000.0_199838.0_795.34@,Ungheria
20:10 20-09-2022,247.0,64.0,22.0,5980000,24600,1910000,1941108,388.68,3000,0,0,300000,163254,627.3,1050000,313950,4295.16,323000,4784.0,0.0,1830000,0.0,0.0,58000,14950,4.92,0,0,0,,0,0,4010000,864708,7060.2,420000,0.0,0.0,69000,79534,927.42, Croazia_nan_-471224.0_1938.48@ Romania_nan_-296010.0_1217.7@ Serbia_1050000.0_-95082.0_391.14@, Austria_nan_1044706.0_4078.68@ Slovacchia_nan_1182844.0_6292.68@ Ucraina_650000.0_200330.0_794.58@,Ungheria
20:20 20-09-2022,247.0,64.0,22.0,5980000,24600,1910000,1941108,388.68,3000,0,0,300000,163254,627.3,1050000,313950,4295.16,323000,4784.0,0.0,1830000,0.0,0.0,58000,14950,4.92,0,0,0,,0,0,4010000,864708,7060.2,420000,0.0,0.0,69000,79534,927.42, Croazia_nan_-471224.0_1938.48@ Romania_nan_-296010.0_1217.7@ Serbia_1050000.0_-95082.0_391.14@, Austria_nan_1044706.0_4078.68@ Slovacchia_nan_1182844.0_6292.68@ Ucraina_650000.0_200330.0_794.58@,Ungheria
20:30 20-09-2022,247.0,64.0,22.0,5980000,24600,1910000,1941108,388.68,3000,0,0,300000,163254,627.3,1050000,313950,4295.16,323000,4784.0,0.0,1830000,0.0,0.0,58000,14950,4.92,0,0,0,,0,0,4010000,864708,7060.2,420000,0.0,0.0,69000,79534,927.42, Croazia_nan_-471224.0_1938.48@ Romania_nan_-296010.0_1217.7@ Serbia_1050000.0_-95082.0_391.14@, Austria_nan_1044706.0_4078.68@ Slovacchia_nan_1182844.0_6292.68@ Ucraina_650000.0_200330.0_794.58@,Ungheria
